Name,Property_Title,Price,Location,Total_Area,Price_per_SQFT,Baths,Balcony
Provident Sunworth,2 BHK Flat for sale in Kengeri Hobli Bangalore,95.0 L,Kengeri Hobli Bangalore,883,10760,3,Yes
Century Ethos,3 BHK Flat for sale in Hebbal Bangalore,3.95 Cr,Chamundi Nagar HebbalBangalore,3125,12640,2,Yes
Brigade 7 Gardens,3 BHK Flat for sale in Banashankari Bangalore,1.3 Cr,Eshwara Nagar BanashankariBangalore,1608,8080,3,Yes
Provident Sunworth by Provident Housing Limited,2 BHK Flat for sale in Kengeri Bangalore,58.0 L,Meenakshi Layout KengeriBangalore,1100,5270,3,Yes
Concorde Spring Meadows,2 BHK Flat for sale in Jalahalli Bangalore,68.0 L,HMT Estate JalahalliBangalore,1139,5970,3,No
Prestige Royale Gardens,2 BHK Flat for sale in Muddanahalli Bangalore,86.0 L,Muddanahalli Bangalore,1267,6790,3,No
Prestige Royale Gardens,2 BHK Flat for sale in Muddanahalli Bangalore,73.0 L,Muddanahalli Bangalore,1305,5590,3,No
Provident Park Square by Provident Housing Limited,3 BHK Flat for sale in Lingadheeranahalli Bangalore,88.0 L,Lingadheeranahalli Bangalore,1200,7330,3,Yes
Vajram Tiara,1 BHK Flat for sale in Yelahanka Bangalore,60.0 L,Yelahanka Bangalore,595,10080,2,No
Prestige West Woods,4 BHK Flat for sale in Binnipete Bangalore,3.72 Cr,Gopalapura BinnipeteBangalore,2570,14470,4,Yes
Prestige Finsbury Park Regent by Prestige Estates Projects Ltd.,2 BHK Flat for sale in Bagalur Bangalore,70.0 L,BEML Layout BagalurBangalore,999,7010,3,No
Prestige Finsbury Park Regent by Prestige Estates Projects Ltd.,2 BHK Flat for sale in Bagalur Bangalore,70.0 L,BEML Layout BagalurBangalore,999,7010,3,Yes
Prestige Finsbury Park Regent by Prestige Estates Projects Ltd.,2 BHK Flat for sale in Bagalur Bangalore,70.0 L,BEML Layout BagalurBangalore,999,7010,3,No
 Midhila Deluxe,2 BHK Flat for sale in Kogilu Bangalore,49.0 L,Prakruthi Nagar KogiluBangalore,1080,4540,3,No
Prestige Jindal City by Prestige Estates Projects Ltd.,4 BHK Flat for sale in Bagalakunte Bangalore,1.72 Cr,Manjunatha Nagar BagalakunteBangalore,2171,7920,4,Yes
Arsis Green Hills,3 BHK Flat for sale in Hampapura Bangalore,1.15 Cr,Hampapura Bangalore,1735,6630,3,Yes
Hiranandani Devanahalli Villa,4 BHK Villa for sale in Chikkasanne Bangalore,3.85 Cr,Chikkasanne Bangalore,3800,10130,1,Yes
MJR Clique Hydra,2 BHK Flat for sale in Electronic City Bangalore,65.0 L,Gollahalli Electronic CityBangalore,1060,6130,3,Yes
Provident Park Square by Provident Housing Limited,2 BHK Flat for sale in Judicial Layout Bangalore,65.0 L,Judicial Layout Bangalore,900,7220,3,Yes
Godrej 24 by Godrej Properties Ltd. ,3 BHK Flat for sale in Mattanahalli Bangalore,1.05 Cr,Mattanahalli Bangalore,1554,6760,3,No
Provident Sunworth,2 BHK Flat for sale in Byadralli Bangalore,45.0 L,Byadralli Bangalore,883,5100,3,No
Nandi Woods,2 BHK Flat for sale in Tejaswini Nagar Bangalore,60.0 L,Phase 2 Tejaswini NagarBangalore,1200,5000,3,Yes
Sipani Royal Heritage,1 BHK Flat for sale in Chandapura Bangalore,29.5 L,Terracon Doctors Enclave ChandapuraBangalore,590,5000,2,No
Provident Harmony,3 BHK Flat for sale in Chokkanahalli Bangalore,80.0 L,Chokkanahalli Bangalore,1241,6450,3,Yes
Trifecta Esplanade,2 BHK Flat for sale in Krishnarajapura Bangalore,65.0 L,Kumbena Agrahara KrishnarajapuraBangalore,1100,5910,3,Yes
Provident Sunworth,3 BHK Flat for sale in Kengeri Hobli Bangalore,50.0 L,Kengeri Hobli Bangalore,1082,4620,3,No
DSR White Waters II,2 BHK Flat for sale in Gunjur Palya Bangalore,68.0 L,Gunjur Palya Bangalore,1109,6130,3,No
Sattva East Crest,2 BHK Flat for sale in Konadasapura Bangalore,85.0 L,Konadasapura Bangalore,1157,7350,3,Yes
Sobha Dream Acres,1 BHK Flat for sale in Panathur Bangalore,60.0 L,Panathur Bangalore,700,8570,2,Yes
Mahaveer Ranches,1 BHK Flat for sale in Parappana Agrahara Bangalore,55.0 L,Sai Sree Layout Parappana AgraharaBangalore,598,9200,2,Yes
Provident Sunworth,2 BHK Flat for sale in Kengeri Hobli Bangalore,70.0 L,Kengeri Hobli Bangalore,883,7930,3,No
Prestige Jindal City,3 BHK Flat for sale in Bagalakunte Bangalore,1.05 Cr,Manjunatha Nagar BagalakunteBangalore,1373,7650,3,No
Prestige Woodland Park by Prestige Estates Projects Ltd.,2.5 BHK Flat for sale in Dodda Banaswadi Bangalore,1.98 Cr,Dodda Banaswadi Bangalore,1405,14090,3,Yes
Kethana Eternal Blossom,3 BHK Flat for sale in Kadubeesanahalli Bangalore,1.03 Cr,Kadubeesanahalli Bangalore,1700,6060,3,Yes
Safco Blue Sky by Safco Properties and Developers,2 BHK Flat for sale in Thanisandra Bangalore,65.0 L,Manayata Tech Park ThanisandraBangalore,1202,5410,3,No
LVS Heights,2 BHK Flat for sale in Hallehalli Bangalore,65.0 L,Hallehalli Bangalore,1195,5440,3,Yes
Monishpark Apartment Kamala Nagar Bangalore,2 BHK Flat for sale in Kamala Nagar Bangalore,1.0 Cr,Monishpark Apartment Kamala Nagar Bangalore,1275,7840,3,Yes
sobha elite villsSarjapur Bangalore,3 BHK Villa for sale in Sarjapur Bangalore,80.0 L,sobha elite villsSarjapur Bangalore,1720,4650,3,Yes
tetra grand greenChamundi Nagar HebbalBangalore,2 BHK Flat for sale in Hebbal Bangalore,75.0 L,tetra grand greenChamundi Nagar HebbalBangalore,1033,7260,3,Yes
GM Silver Oak Kaval Bairasandra Bangalore,2 BHK Flat for sale in Kaval Bairasandra Bangalore,48.0 L,GM Silver Oak Kaval Bairasandra Bangalore,1000,4800,3,No
SOBHA ELITE VILLASSarjapur Bangalore,3 BHK Villa for sale in Sarjapur Bangalore,86.0 L,SOBHA ELITE VILLASSarjapur Bangalore,1720,5000,3,Yes
Vijetha Elysium,2 BHK Flat for sale in Whitefield Bangalore,55.0 L,Narayanappa Garden WhitefieldBangalore,1270,4330,3,Yes
Sobha Indraprastha by Sobha Limited,3 BHK Flat for sale in Rajajinagar Bangalore,2.85 Cr,Siddaramana Dinne RajajinagarBangalore,2030,14040,4,Yes
Brigade Meadows by Brigade Enterprises Ltd,2 BHK Flat for sale in Lingadheeranahalli Bangalore,58.0 L,Lingadheeranahalli Bangalore,950,6110,3,No
Aswani Aaeesha,2 BHK Flat for sale in Rayasandra Bangalore,32.0 L,Konappana Agrahara RayasandraBangalore,600,5330,2,No
N D ResidencyChandra Nagar Kumaraswamy LayoutBangalore,2 BHK Flat for sale in Kumaraswamy Layout Bangalore,55.0 L,N D ResidencyChandra Nagar Kumaraswamy LayoutBangalore,1100,5000,3,No
Rajapura Bangalore,2 BHK Flat for sale in Rajapura Bangalore,40.0 L,Rajapura Bangalore,920,4350,3,No
GM Global Techies TownVeer Sandra Electronic City Phase IIBangalore,2 BHK Flat for sale in Electronic City Phase II Bangalore,75.0 L,GM Global Techies TownVeer Sandra Electronic City Phase IIBangalore,1500,5000,3,Yes
Sobha Sapphire,2 BHK Flat for sale in Amrutahalli Bangalore,1.2 Cr,Amrutahalli Bangalore,1380,8700,3,Yes
Myhna Maple,2 BHK Flat for sale in Varthur Bangalore,75.0 L,Devasthanagalu VarthurBangalore,1045,7180,3,Yes
Terracon Doctors Enclave ChandapuraBangalore,3 BHK Villa for sale in Chandapura Bangalore,1.14 Cr,Terracon Doctors Enclave ChandapuraBangalore,2225,5120,4,Yes
Sri Nilaya,3 BHK Flat for sale in Malleswaram Bangalore,1.8 Cr,Malleswaram Bangalore,1200,15000,3,No
Shriram Surabhi,2 BHK Flat for sale in Lingadheeranahalli Bangalore,60.0 L,Lingadheeranahalli Bangalore,924,6490,3,Yes
Keerthi SignatureKIADB Export Promotion Industrial Area KrishnarajapuraBangalore,3 BHK Flat for sale in Krishnarajapura Bangalore,1.4 Cr,Keerthi SignatureKIADB Export Promotion Industrial Area KrishnarajapuraBangalore,1885,7430,3,Yes
Abhee Nakshatra Devasthanagalu VarthurBangalore,2 BHK Flat for sale in Varthur Bangalore,74.0 L,Abhee Nakshatra Devasthanagalu VarthurBangalore,1174,6300,3,Yes
Blue Wings,2 BHK Flat for sale in Vibhutipura Bangalore,72.0 L,Vibhutipura Bangalore,1080,6670,3,No
Blue Wings,2 BHK Flat for sale in Vibhutipura Bangalore,75.0 L,Vibhutipura Bangalore,1100,6820,3,No
The Icon,3 BHK Flat for sale in Thanisandra Bangalore,1.55 Cr,Manayata Tech Park ThanisandraBangalore,1996,7760,3,Yes
Biotech Park ChandapuraBangalore,3 BHK Villa for sale in Chandapura Bangalore,1.08 Cr,Biotech Park ChandapuraBangalore,2400,4500,4,Yes
Bommasandra Industrial Area BommasandraBangalore,2 BHK Flat for sale in Bommasandra Bangalore,34.0 L,Bommasandra Industrial Area BommasandraBangalore,830,4100,3,No
Sector 3 HSR LayoutBangalore,2 BHK Flat for sale in HSR Layout Bangalore,55.0 L,Sector 3 HSR LayoutBangalore,1000,5500,3,Yes
Prakruthi Hillcrest by Prakruthi Shelters,2 BHK Flat for sale in Banashankari Bangalore,67.0 L,Srinivasa Nagar BanashankariBangalore,1000,6700,3,Yes
Prakruthi Hillcrest by Prakruthi Shelters,2 BHK Flat for sale in Banashankari Bangalore,67.0 L,Srinivasa Nagar BanashankariBangalore,1000,6700,3,No
PRISTINE SINDHU,2 BHK Flat for sale in Subramanyapura Bangalore,60.0 L,Subramanyapura Bangalore,1164,5150,3,Yes
Abhee Nandika,2 BHK Flat for sale in Chandapura Bangalore,37.76 L,Chandapura Bangalore,870,4340,3,Yes
HM Symphony,2 BHK Flat for sale in Kasavanahalli Bangalore,83.0 L,Eastwood Township KasavanahalliBangalore,1200,6920,3,No
Sarjapur Bangalore,2 BHK Villa for sale in Sarjapur Bangalore,63.0 L,Sarjapur Bangalore,950,6630,3,Yes
First Daisy,2 BHK Flat for sale in Singasandra Bangalore,70.0 L,AECS Layout SingasandraBangalore,1188,5890,3,Yes
Raaya Homes,3 BHK Flat for sale in Sorahunase Bangalore,58.5 L,Sorahunase Bangalore,1495,3910,3,No
PSR Aster,2 BHK Flat for sale in Volagerekallahalli Bangalore,70.0 L,Volagerekallahalli Bangalore,1240,5640,3,Yes
MK Shri Sai Lake Ville by M K Builders,2 BHK Flat for sale in Varthur Bangalore,50.0 L,Devasthanagalu VarthurBangalore,1155,4330,3,No
Monishpark apt Kamala Nagar Bangalore,2 BHK Flat for sale in Kamala Nagar Bangalore,1.0 Cr,Monishpark apt Kamala Nagar Bangalore,1275,7840,3,No
KSR Cordelia,2 BHK Flat for sale in Thanisandra Bangalore,90.0 L,Rachenahalli ThanisandraBangalore,1256,7170,3,No
Akshaya Classic Home,2 BHK Flat for sale in Arakere Bangalore,75.0 L,Omkar Nagar ArakereBangalore,1350,5550,3,Yes
PLAM MEADOWS Sarjapur Bangalore,3 BHK Villa for sale in Sarjapur Bangalore,80.0 L,PLAM MEADOWS Sarjapur Bangalore,1800,4440,3,Yes
Anriya Greinberg Apartments by Anriya Group,3 BHK Flat for sale in Judicial Layout Bangalore,89.0 L,Judicial Layout Bangalore,1745,5100,3,Yes
Sattva East Crest,3 BHK Flat for sale in Konadasapura Bangalore,1.2 Cr,Konadasapura Bangalore,1527,7860,3,No
Ahad Excellencia,2 BHK Flat for sale in Choodasandra Bangalore,85.0 L,Choodasandra Bangalore,1146,7420,3,Yes
Gagan gauravi Rahmath Nagar R. T. NagarBangalore,2 BHK Flat for sale in R. T. Nagar Bangalore,60.0 L,Gagan gauravi Rahmath Nagar R. T. NagarBangalore,1200,5000,3,No
Battarahalli Bangalore,3 BHK Flat for sale in Battarahalli Bangalore,1.15 Cr,Battarahalli Bangalore,1735,6630,3,Yes
Oakwood Apartments,3 BHK Flat for sale in Kalkere Bangalore,79.0 L,Dodda Kempaiah Layout KalkereBangalore,1480,5340,3,No
Rohan Avriti,2 BHK Flat for sale in Krishnarajapura Bangalore,1.25 Cr,Kaveri Nagar KrishnarajapuraBangalore,1205,10370,3,Yes
Ravoos Rainbow,2 BHK Flat for sale in Whitefield Bangalore,46.0 L,Narayanappa Garden WhitefieldBangalore,1165,3950,3,No
PJC Pinacle AECS Layout AECS Layout SingasandraBangalore,2 BHK Flat for sale in Singasandra Bangalore,60.0 L,PJC Pinacle AECS Layout AECS Layout SingasandraBangalore,1055,5690,3,Yes
Karnataka Kengeri Diamond,2 BHK Flat for sale in Kengeri Satellite Town Bangalore,60.0 L,BSM Extension Kengeri Satellite TownBangalore,1030,5830,3,No
Mantri Global Heights,3 BHK Flat for sale in Kannamangala Bangalore,75.0 L,Ardendale KannamangalaBangalore,1625,4620,3,Yes
Brigade Gardenia,3 BHK Flat for sale in JP Nagar Bangalore,1.7 Cr,7th Phase JP NagarBangalore,1630,10430,3,Yes
Saptagiri Layout HosakerehalliBangalore,5 BHK Villa for sale in Hosakerehalli Bangalore,1.1 Cr,Saptagiri Layout HosakerehalliBangalore,2400,4580,4,Yes
Eco Nana Chamundi Nagar HebbalBangalore,2 BHK Flat for sale in Hebbal Bangalore,56.0 L,Eco Nana Chamundi Nagar HebbalBangalore,800,7000,6,No
NR Orchid Gardenia,4 BHK Flat for sale in Jakkur Bangalore,4.0 Cr,Rachenahalli JakkurBangalore,4895,8170,5,Yes
Citilights Rustique by Citilights Properties Builders,3 BHK Flat for sale in Whitefield Bangalore,2.87 Cr,Dodsworth Layout WhitefieldBangalore,2700,10630,4,Yes
SLV Pride by SLV Projects Pvt. Ltd.,2 BHK Flat for sale in HSR Layout Bangalore,58.5 L,Sector 2 HSR LayoutBangalore,1136,5150,3,Yes
Devasthanagalu VarthurBangalore,2 BHK Flat for sale in Varthur Bangalore,1.3 Cr,Devasthanagalu VarthurBangalore,1264,10280,3,No
Hoysala Hoysala Ace,3 BHK Flat for sale in Sahakara Nagar Bangalore,1.35 Cr,Sahakara Nagar Bangalore,1450,9310,3,No
Sai ParadiseMuthurayya Swamy Layout HulimavuBangalore,2 BHK Flat for sale in Hulimavu Bangalore,56.0 L,Sai ParadiseMuthurayya Swamy Layout HulimavuBangalore,1100,5090,3,Yes
Godavari FlatsYelahanka Bangalore,2 BHK Flat for sale in Yelahanka Bangalore,40.0 L,Godavari FlatsYelahanka Bangalore,900,4440,3,Yes
Veer Sandra Electronic City Phase IIBangalore,2 BHK Flat for sale in Electronic City Phase II Bangalore,50.0 L,Veer Sandra Electronic City Phase IIBangalore,870,5750,3,No
GM Global Techies TownVeer Sandra Electronic City Phase IIBangalore,3 BHK Flat for sale in Electronic City Phase II Bangalore,90.0 L,GM Global Techies TownVeer Sandra Electronic City Phase IIBangalore,1500,6000,3,Yes
Hoysala Hoysala Ace,3 BHK Flat for sale in Sahakara Nagar Bangalore,1.3 Cr,Sahakara Nagar Bangalore,1450,8960,3,No
Balaji Enclave Banashankari 3rd Stage BanashankariBangalore,2 BHK Flat for sale in Banashankari Bangalore,64.0 L,Balaji Enclave Banashankari 3rd Stage BanashankariBangalore,1100,5820,3,No
Veer Sandra Electronic CityBangalore,2 BHK Flat for sale in Electronic City Bangalore,35.0 L,Veer Sandra Electronic CityBangalore,890,3930,3,Yes
Horamavu Agara HoramavuBangalore,4 BHK Villa for sale in Horamavu Bangalore,2.1 Cr,Horamavu Agara HoramavuBangalore,2200,9540,4,Yes
SLS Silicon Valley,3 BHK Flat for sale in Krishnarajapura Bangalore,72.0 L,Belathur KrishnarajapuraBangalore,1311,5490,3,Yes
Skyline Beverly parkAmrutahalli Bangalore,2 BHK Flat for sale in Amrutahalli Bangalore,86.0 L,Skyline Beverly parkAmrutahalli Bangalore,1340,6420,3,No
Abhee Nakshatra Kasavanahalli Bangalore,2 BHK Flat for sale in Kasavanahalli Bangalore,77.0 L,Abhee Nakshatra Kasavanahalli Bangalore,1145,6720,3,Yes
YPR RESIDENCY,2 BHK Flat for sale in Narayanapura Bangalore,1.0 Cr,Narayanapura Bangalore,1102,9070,3,Yes
Soorya Signature by Soorya Homes,2 BHK Flat for sale in Hebbal Bangalore,75.0 L,Chamundi Nagar HebbalBangalore,1628,4610,3,Yes
Abhee Nandika,2 BHK Flat for sale in Bommasandra Bangalore,35.0 L,Bommasandra Industrial Area BommasandraBangalore,800,4380,2,Yes
Chaithrashree Comforts,2 BHK Flat for sale in RR Nagar Bangalore,75.0 L,Remco Housing Society RR NagarBangalore,1210,6200,3,No
Bommasandra Industrial Area BommasandraBangalore,2 BHK Flat for sale in Bommasandra Bangalore,33.0 L,Bommasandra Industrial Area BommasandraBangalore,820,4020,3,Yes
Candeur Rise,2 BHK Flat for sale in Varthur Bangalore,71.0 L,Varthur Bangalore,1170,6070,3,No
Sona Vistaas,1 BHK Flat for sale in Akshayanagar Bangalore,43.0 L,DLF Newtown AkshayanagarBangalore,532,8080,2,No
KattriguppeIttamadu BanashankariBangalore,2 BHK Flat for sale in Banashankari Bangalore,68.0 L,KattriguppeIttamadu BanashankariBangalore,1200,5670,3,Yes
Lingadheeranahalli Bangalore,2 BHK Flat for sale in Lingadheeranahalli Bangalore,60.0 L,Lingadheeranahalli Bangalore,950,6320,3,No
Vishwapriya Nagar BegurBangalore,3 BHK Flat for sale in Begur Bangalore,70.0 L,Vishwapriya Nagar BegurBangalore,1480,4730,3,Yes
Dynamic Krishna Aashraya,3 BHK Flat for sale in Ramamurthy Nagar Bangalore,75.0 L,Jinke Thimmanahalli Ramamurthy NagarBangalore,1485,5050,3,Yes
Nishant Prime,2 BHK Flat for sale in Whitefield Bangalore,83.0 L,Immadihalli WhitefieldBangalore,1219,6810,3,No
Ideal Apartments,2 BHK Flat for sale in RR Nagar Bangalore,75.0 L,Javarandoddi RR NagarBangalore,1200,6250,3,Yes
Bhartiya Nikoo Homes,2 BHK Flat for sale in Tirumanahalli Bangalore,83.0 L,Devin Paradise Enclave TirumanahalliBangalore,1098,7560,3,Yes
Sumadhura Aspire Aurum by Sumadhura Homes LLP,2 BHK Flat for sale in Kadugodi Bangalore,65.0 L,V S Reddy Colony KadugodiBangalore,955,6810,3,Yes
DS Max Sigma,3 BHK Flat for sale in Electronic City Bangalore,90.0 L,Gollahalli Electronic CityBangalore,1448,6210,3,No
Godrej E City,2 BHK Flat for sale in Electronic City Bangalore,69.99 L,Electronic City Bangalore,1028,6810,3,No
MV ENCLAVE2 Stage Uttarahalli HobliBangalore,2 BHK Flat for sale in Uttarahalli Hobli Bangalore,50.0 L,MV ENCLAVE2 Stage Uttarahalli HobliBangalore,1039,4810,3,No
Prakruthi Krishna,3 BHK Flat for sale in Vidyaranyapura Bangalore,80.0 L,Vaishnavi Layout VidyaranyapuraBangalore,1621,4930,3,Yes
Prashant Residency,2 BHK Flat for sale in Akshayanagar Bangalore,48.0 L,Akshayanagara East AkshayanagarBangalore,1100,4360,3,No
Kasavanahalli Bangalore,2 BHK Flat for sale in Kasavanahalli Bangalore,77.0 L,Kasavanahalli Bangalore,1229,6260,3,Yes
Terracon Doctors Enclave ChandapuraBangalore,2 BHK Flat for sale in Chandapura Bangalore,37.0 L,Terracon Doctors Enclave ChandapuraBangalore,858,4310,3,No
adiga Sundar Ram Shetty Nagar BilekahalliBangalore,2 BHK Flat for sale in Bilekahalli Bangalore,70.0 L,adiga Sundar Ram Shetty Nagar BilekahalliBangalore,1000,7000,3,Yes
Ahad Silver Crown,2 BHK Flat for sale in Harlur Bangalore,61.3 L,Lakedew Residency- Phase 2 HarlurBangalore,1202,5100,3,Yes
Belur Nagasandra BellandurBangalore,2 BHK Flat for sale in Bellandur Bangalore,74.0 L,Belur Nagasandra BellandurBangalore,1174,6300,3,No
Godrej E City,3 BHK Flat for sale in Electronic City Bangalore,92.0 L,Electronic City Bangalore,1440,6390,3,No
Sindhura Residency,2 BHK Flat for sale in Electronic City Bangalore,40.0 L,Electronic City Bangalore,1100,3640,3,Yes
adiga Sundar Ram Shetty Nagar BilekahalliBangalore,3 BHK Flat for sale in Bilekahalli Bangalore,90.0 L,adiga Sundar Ram Shetty Nagar BilekahalliBangalore,1420,6340,3,No
Sunny Side ApartmentAkshaya Gardens AkshayanagarBangalore,2 BHK Flat for sale in Akshayanagar Bangalore,40.0 L,Sunny Side ApartmentAkshaya Gardens AkshayanagarBangalore,950,4210,3,No
psr nandanamDevanahalli Bangalore,4 BHK Villa for sale in Devanahalli Bangalore,1.5 Cr,psr nandanamDevanahalli Bangalore,2685,5590,4,Yes
Century Breeze,2 BHK Flat for sale in Nehru Nagar Bangalore,87.0 L,Nehru Nagar Bangalore,1279,6800,3,Yes
SNN Raj Serenity,2 BHK Flat for sale in Akshayanagar Bangalore,62.0 L,Yelenahalli AkshayanagarBangalore,950,6530,3,Yes
Sobha Jade Apartments,3 BHK Flat for sale in Jakkur Bangalore,1.6 Cr,Jakkuru Village JakkurBangalore,1802,8880,3,Yes
Sarjapur Bangalore,3 BHK Villa for sale in Sarjapur Bangalore,1.0 Cr,Sarjapur Bangalore,1200,8330,3,Yes
Sumuka Residency,3 BHK Flat for sale in Akshayanagar Bangalore,1.1 Cr,Akshayanagara East AkshayanagarBangalore,1530,7190,3,No
Sumuka Residency,2 BHK Flat for sale in Akshayanagar Bangalore,80.0 L,Akshayanagara East AkshayanagarBangalore,1000,8000,3,Yes
Sumukha Greenville,2 BHK Flat for sale in Bilekahalli Bangalore,80.0 L,Sundar Ram Shetty Nagar BilekahalliBangalore,1160,6900,3,No
Appaswamy Springs,3 BHK Flat for sale in Rajajinagar Bangalore,1.7 Cr,Siddaramana Dinne RajajinagarBangalore,1326,12820,3,No
Icon Honey Pool by Iconhomz,2 BHK Flat for sale in Bommasandra Bangalore,36.0 L,Kachanayakanahalli BommasandraBangalore,827,4350,3,Yes
Sri Lakshmi residentialKanka Nagar Kumaraswamy LayoutBangalore,2 BHK Flat for sale in Kumaraswamy Layout Bangalore,57.0 L,Sri Lakshmi residentialKanka Nagar Kumaraswamy LayoutBangalore,950,6000,3,No
Inasappa Layout KammanahalliBangalore,2 BHK Flat for sale in Kammanahalli Bangalore,75.0 L,Inasappa Layout KammanahalliBangalore,1050,7140,3,Yes
SLV Greencity,2 BHK Flat for sale in Chokkanahalli Bangalore,59.0 L,Chokkanahalli Bangalore,1015,5810,3,No
Yelahanka Bangalore,2 BHK Flat for sale in Yelahanka Bangalore,58.0 L,Yelahanka Bangalore,1280,4530,3,Yes
M Vishveshvaraiah Nagar Ramamurthy NagarBangalore,2 BHK Flat for sale in Ramamurthy Nagar Bangalore,70.0 L,M Vishveshvaraiah Nagar Ramamurthy NagarBangalore,1200,5830,3,No
Route 154Rachenahalli JakkurBangalore,2 BHK Flat for sale in Jakkur Bangalore,58.0 L,Route 154Rachenahalli JakkurBangalore,1220,4750,3,Yes
Unique Concord,2 BHK Flat for sale in Devinagar Bangalore,68.0 L,Tatanagar DevinagarBangalore,1161,5860,3,No
ATLANTIS LIBERTY SQUARE Raghuvanahalli Bangalore City Municipal Corporation LayoutBangalore,3 BHK Flat for sale in Bangalore City Municipal Corporation Layout Bangalore,1.3 Cr,ATLANTIS LIBERTY SQUARE Raghuvanahalli Bangalore City Municipal Corporation LayoutBangalore,1915,6790,3,Yes
Kristal Tiara,4 BHK Villa for sale in Bellandur Bangalore,3.0 Cr,Bellandur Bangalore,2125,14120,4,Yes
Kasavanahalli Bangalore,2 BHK Flat for sale in Kasavanahalli Bangalore,77.0 L,Kasavanahalli Bangalore,1229,6260,3,Yes
Bhavana Residency,2 BHK Flat for sale in Horamavu Bangalore,50.0 L,Horamavu Agara HoramavuBangalore,1160,4310,3,No
Devasthanagalu VarthurBangalore,2 BHK Flat for sale in Varthur Bangalore,74.0 L,Devasthanagalu VarthurBangalore,1174,6300,3,No
Sai Sunshine,2 BHK Flat for sale in Whitefield Bangalore,63.0 L,Dodsworth Layout WhitefieldBangalore,1135,5550,3,No
Belur Nagasandra BellandurBangalore,2 BHK Flat for sale in Bellandur Bangalore,74.0 L,Belur Nagasandra BellandurBangalore,1174,6300,3,Yes
Bhavana Residency,2 BHK Flat for sale in Horamavu Bangalore,52.0 L,Horamavu Agara HoramavuBangalore,1160,4480,3,Yes
Samvriddhi Gardenia,3 BHK Flat for sale in Sahakara Nagar Bangalore,95.0 L,Sahakara Nagar Bangalore,1700,5590,3,Yes
Sai Sunshine,2 BHK Flat for sale in Whitefield Bangalore,63.0 L,Dodsworth Layout WhitefieldBangalore,1135,5550,3,Yes
Bhartiya City Nikoo HomeP&T Layout ThanisandraBangalore,1 BHK Flat for sale in Thanisandra Bangalore,51.0 L,Bhartiya City Nikoo HomeP&T Layout ThanisandraBangalore,760,6710,2,No
Sashank Advaith by Sashank Constructions,3 BHK Flat for sale in Choodasandra Bangalore,1.2 Cr,Choodasandra Bangalore,1650,7270,3,Yes
Lakven Amravati Square Industrial Area HoodiBangalore,2 BHK Flat for sale in Hoodi Bangalore,70.0 L,Lakven Amravati Square Industrial Area HoodiBangalore,1381,5070,3,Yes
DS Max Saffron Annaiah Reddy Layout Dodda BanaswadiBangalore,3 BHK Flat for sale in Dodda Banaswadi Bangalore,95.0 L,DS Max Saffron Annaiah Reddy Layout Dodda BanaswadiBangalore,1300,7310,3,No
LMP Pearl TuscanySomasundarapalya Bangalore,2 BHK Flat for sale in Somasundarapalya Bangalore,55.0 L,LMP Pearl TuscanySomasundarapalya Bangalore,960,5730,3,Yes
i1 Tulasi Premier,2 BHK Flat for sale in Volagerekallahalli Bangalore,60.0 L,Volagerekallahalli Bangalore,1200,5000,3,No
Shriram Surabhi,2 BHK Flat for sale in Mallasandra Bangalore,63.0 L,Mallasandra Bangalore,924,6820,3,No
Krishna Wilson Vintage by Sai Krishna Constructions,3 BHK Flat for sale in Wilson Garden Bangalore,1.85 Cr,Chinnayanpalya Wilson GardenBangalore,3000,6170,2,Yes
Arvind Skylands,2 BHK Flat for sale in Nehru Nagar Bangalore,90.0 L,Nehru Nagar Bangalore,1200,7500,3,Yes
Anvitha Delight,2 BHK Flat for sale in Aavalahalli Bangalore,43.5 L,Virgonagar Industrial Estate AavalahalliBangalore,1140,3810,3,No
SNN Raj Serenity,2 BHK Flat for sale in Akshayanagar Bangalore,63.0 L,Yelenahalli AkshayanagarBangalore,905,6960,3,Yes
Mahaveer Orchids,2 BHK Flat for sale in Choodasandra Bangalore,36.0 L,Choodasandra Bangalore,725,4960,2,Yes
Sowparnika Tharangini,3 BHK Flat for sale in Ittangur Bangalore,70.0 L,Ittangur Bangalore,1322,5290,3,Yes
Sowparnika Sai Krishna,2 BHK Flat for sale in Kada Agrahara Bangalore,60.0 L,Kada Agrahara Bangalore,926,6480,3,Yes
Midtown Opulent,2 BHK Flat for sale in Sorahunase Bangalore,62.0 L,Sorahunase Bangalore,1140,5440,3,Yes
Suraksha Sunflower by Suraksha Properties,2 BHK Flat for sale in Bilekahalli Bangalore,65.0 L,Sundar Ram Shetty Nagar BilekahalliBangalore,1100,5910,3,No
Anjanapura Township Bangalore,2 BHK Flat for sale in Anjanapura Township Bangalore,45.0 L,Anjanapura Township Bangalore,1180,3810,3,Yes
ascent apartmentTatanagar DevinagarBangalore,2 BHK Flat for sale in Devinagar Bangalore,79.0 L,ascent apartmentTatanagar DevinagarBangalore,1307,6040,3,No
Puravankara Purva Highlands by Puravankara Limited,2 BHK Flat for sale in Lingadheeranahalli Bangalore,77.0 L,Lingadheeranahalli Bangalore,1340,5750,3,No
