Name,Property_Title,Price_InLakhs,Location,Total_Area,Price_per_SQFT,Baths,Balcony,Typeof_flat,City,Price_Growth
Sipani Royal Heritage by  Sipani Properties Private Limited,1 BHK Flat for sale in Chandapura Bangalore,26,Biotech Park ChandapuraBangalore,590,4490,2,1,1 BHK,Bangalore,24.18
Provident Sunworth,2 BHK Flat for sale in Kambipura Bangalore,60,Kambipura Bangalore,880,6820,3,0,2 BHK,Bangalore,55.8
CGA Rainbow,2 BHK Flat for sale in Thirumagondanahalli Bangalore,45,Thirumagondanahalli Bangalore,1080,4170,3,0,2 BHK,Bangalore,41.85
Arvind Oasis,3 BHK Flat for sale in Nagasandra Bangalore,95,Nagasandra Bangalore,1297,7320,3,1,3 BHK,Bangalore,88.35
Brigade 7 Gardens,3 BHK Flat for sale in Subramanyapura Bangalore,117,Happy Valley Layout SubramanyapuraBangalore,1603,7300,3,1,3 BHK,Bangalore,108.81
Provident Sunworth,3 BHK Flat for sale in Kambipura Bangalore,62,Kambipura Bangalore,1082,5730,3,0,3 BHK,Bangalore,57.66
Sattva Kings Domain,5 BHK Villa for sale in C V Raman Nagar Bangalore,720,Nagavarapalya C V Raman NagarBangalore,4500,16000,5,1,5 BHK,Bangalore,669.6
Mantri Webcity by Mantri Developers,3 BHK Flat for sale in Kothanur Bangalore,95,Kothanur Bangalore,1445,6570,3,1,3 BHK,Bangalore,88.35
Estrella,2 BHK Flat for sale in Varthur Bangalore,55,Devasthanagalu VarthurBangalore,1200,4580,3,0,2 BHK,Bangalore,51.15
Mukunda Brundhavan,2 BHK Flat for sale in Krishnarajapura Bangalore,55,Kadugodi KrishnarajapuraBangalore,1205,4560,3,1,2 BHK,Bangalore,51.15
Brigade 7 Gardens,3 BHK Flat for sale in Subramanyapura Bangalore,135,Happy Valley Layout SubramanyapuraBangalore,1425,9470,3,1,3 BHK,Bangalore,125.55
L&T Raintree Boulevard,3 BHK Flat for sale in Sahakara Nagar Bangalore,211,Shabhari Nagar Sahakara NagarBangalore,1645,12800,3,1,3 BHK,Bangalore,196.23
Bavisha Urban Homes Phase II,3 BHK Flat for sale in Kada Agrahara Bangalore,45,Sree Narayana Nagar Kada AgraharaBangalore,950,4740,3,0,3 BHK,Bangalore,41.85
Sipani Royal Heritage,2 BHK Flat for sale in Iggalur Bangalore,33,Iggalur Bangalore,835,4020,3,1,2 BHK,Bangalore,30.69
Mana Uber Verdant II by Mana Projects Pvt. Ltd.,2 BHK Flat for sale in Mattanahalli Bangalore,110,Mattanahalli Bangalore,1285,8560,3,1,2 BHK,Bangalore,102.3
Sattva Anugraha,1 BHK Flat for sale in Vijayanagar Bangalore,43,Cauvery Nagar VijayanagarBangalore,500,8600,2,0,1 BHK,Bangalore,39.99
Inspira Tropical Garden,2 BHK Flat for sale in Carmelaram Bangalore,61,Janatha Colony CarmelaramBangalore,1159,5260,3,0,2 BHK,Bangalore,56.73
Provident Park Square by Provident Housing Limited,2 BHK Flat for sale in Lingadheeranahalli Bangalore,75,Lingadheeranahalli Bangalore,880,8520,3,1,2 BHK,Bangalore,69.75
Prestige Jindal City,2 BHK Flat for sale in Anchepalya Bangalore,86,Anchepalya Bangalore,1085,7930,3,0,2 BHK,Bangalore,79.98
Provident Park Square by Provident Housing Limited,2 BHK Flat for sale in Lingadheeranahalli Bangalore,75,Lingadheeranahalli Bangalore,850,8820,3,1,2 BHK,Bangalore,69.75
GM Ambitious Enclave,3 BHK Flat for sale in Electronic City Phase II Bangalore,60,Veer Sandra Electronic City Phase IIBangalore,990,6060,3,1,3 BHK,Bangalore,55.8
GMC One Apartment,3 BHK Flat for sale in Kengeri Bangalore,69,Kengeri Bangalore,1390,4960,3,1,3 BHK,Bangalore,64.17
Provident Sunworth,2 BHK Flat for sale in Kengeri Hobli Bangalore,95,Kengeri Hobli Bangalore,883,10760,3,1,2 BHK,Bangalore,88.35
Century Ethos,3 BHK Flat for sale in Hebbal Bangalore,395,Chamundi Nagar HebbalBangalore,3125,12640,2,1,3 BHK,Bangalore,367.35
Brigade 7 Gardens,3 BHK Flat for sale in Banashankari Bangalore,130,Eshwara Nagar BanashankariBangalore,1608,8080,3,1,3 BHK,Bangalore,120.9
Provident Sunworth by Provident Housing Limited,2 BHK Flat for sale in Kengeri Bangalore,58,Meenakshi Layout KengeriBangalore,1100,5270,3,1,2 BHK,Bangalore,53.94
Concorde Spring Meadows,2 BHK Flat for sale in Jalahalli Bangalore,68,HMT Estate JalahalliBangalore,1139,5970,3,0,2 BHK,Bangalore,63.24
Prestige Royale Gardens,2 BHK Flat for sale in Muddanahalli Bangalore,86,Muddanahalli Bangalore,1267,6790,3,0,2 BHK,Bangalore,79.98
Prestige Royale Gardens,2 BHK Flat for sale in Muddanahalli Bangalore,73,Muddanahalli Bangalore,1305,5590,3,0,2 BHK,Bangalore,67.89
Provident Park Square by Provident Housing Limited,3 BHK Flat for sale in Lingadheeranahalli Bangalore,88,Lingadheeranahalli Bangalore,1200,7330,3,1,3 BHK,Bangalore,81.84
Vajram Tiara,1 BHK Flat for sale in Yelahanka Bangalore,60,Yelahanka Bangalore,595,10080,2,0,1 BHK,Bangalore,55.8
Prestige West Woods,4 BHK Flat for sale in Binnipete Bangalore,372,Gopalapura BinnipeteBangalore,2570,14470,4,1,4 BHK,Bangalore,345.96
Prestige Finsbury Park Regent by Prestige Estates Projects Ltd.,2 BHK Flat for sale in Bagalur Bangalore,70,BEML Layout BagalurBangalore,999,7010,3,0,2 BHK,Bangalore,65.1
Prestige Finsbury Park Regent by Prestige Estates Projects Ltd.,2 BHK Flat for sale in Bagalur Bangalore,70,BEML Layout BagalurBangalore,999,7010,3,1,2 BHK,Bangalore,65.1
Prestige Finsbury Park Regent by Prestige Estates Projects Ltd.,2 BHK Flat for sale in Bagalur Bangalore,70,BEML Layout BagalurBangalore,999,7010,3,0,2 BHK,Bangalore,65.1
Midhila Deluxe,2 BHK Flat for sale in Kogilu Bangalore,49,Prakruthi Nagar KogiluBangalore,1080,4540,3,0,2 BHK,Bangalore,45.57
Prestige Jindal City by Prestige Estates Projects Ltd.,4 BHK Flat for sale in Bagalakunte Bangalore,172,Manjunatha Nagar BagalakunteBangalore,2171,7920,4,1,4 BHK,Bangalore,159.96
Arsis Green Hills,3 BHK Flat for sale in Hampapura Bangalore,115,Hampapura Bangalore,1735,6630,3,1,3 BHK,Bangalore,106.95
Hiranandani Devanahalli Villa,4 BHK Villa for sale in Chikkasanne Bangalore,385,Chikkasanne Bangalore,3800,10130,1,1,4 BHK,Bangalore,358.05
MJR Clique Hydra,2 BHK Flat for sale in Electronic City Bangalore,65,Gollahalli Electronic CityBangalore,1060,6130,3,1,2 BHK,Bangalore,60.45
Provident Park Square by Provident Housing Limited,2 BHK Flat for sale in Judicial Layout Bangalore,65,Judicial Layout Bangalore,900,7220,3,1,2 BHK,Bangalore,60.45
Godrej 24 by Godrej Properties Ltd.,3 BHK Flat for sale in Mattanahalli Bangalore,105,Mattanahalli Bangalore,1554,6760,3,0,3 BHK,Bangalore,97.65
Provident Sunworth,2 BHK Flat for sale in Byadralli Bangalore,45,Byadralli Bangalore,883,5100,3,0,2 BHK,Bangalore,41.85
Nandi Woods,2 BHK Flat for sale in Tejaswini Nagar Bangalore,60,Phase 2 Tejaswini NagarBangalore,1200,5000,3,1,2 BHK,Bangalore,55.8
Sipani Royal Heritage,1 BHK Flat for sale in Chandapura Bangalore,29,Terracon Doctors Enclave ChandapuraBangalore,590,5000,2,0,1 BHK,Bangalore,26.97
Provident Harmony,3 BHK Flat for sale in Chokkanahalli Bangalore,80,Chokkanahalli Bangalore,1241,6450,3,1,3 BHK,Bangalore,74.4
Trifecta Esplanade,2 BHK Flat for sale in Krishnarajapura Bangalore,65,Kumbena Agrahara KrishnarajapuraBangalore,1100,5910,3,1,2 BHK,Bangalore,60.45
Provident Sunworth,3 BHK Flat for sale in Kengeri Hobli Bangalore,50,Kengeri Hobli Bangalore,1082,4620,3,0,3 BHK,Bangalore,46.5
DSR White Waters II,2 BHK Flat for sale in Gunjur Palya Bangalore,68,Gunjur Palya Bangalore,1109,6130,3,0,2 BHK,Bangalore,63.24
Sattva East Crest,2 BHK Flat for sale in Konadasapura Bangalore,85,Konadasapura Bangalore,1157,7350,3,1,2 BHK,Bangalore,79.05
Sobha Dream Acres,1 BHK Flat for sale in Panathur Bangalore,60,Panathur Bangalore,700,8570,2,1,1 BHK,Bangalore,55.8
Mahaveer Ranches,1 BHK Flat for sale in Parappana Agrahara Bangalore,55,Sai Sree Layout Parappana AgraharaBangalore,598,9200,2,1,1 BHK,Bangalore,51.15
Provident Sunworth,2 BHK Flat for sale in Kengeri Hobli Bangalore,70,Kengeri Hobli Bangalore,883,7930,3,0,2 BHK,Bangalore,65.1
Prestige Jindal City,3 BHK Flat for sale in Bagalakunte Bangalore,105,Manjunatha Nagar BagalakunteBangalore,1373,7650,3,0,3 BHK,Bangalore,97.65
Prestige Woodland Park by Prestige Estates Projects Ltd.,2.5 BHK Flat for sale in Dodda Banaswadi Bangalore,198,Dodda Banaswadi Bangalore,1405,14090,3,1,2.5 BHK,Bangalore,184.14
Kethana Eternal Blossom,3 BHK Flat for sale in Kadubeesanahalli Bangalore,103,Kadubeesanahalli Bangalore,1700,6060,3,1,3 BHK,Bangalore,95.79
Safco Blue Sky by Safco Properties and Developers,2 BHK Flat for sale in Thanisandra Bangalore,65,Manayata Tech Park ThanisandraBangalore,1202,5410,3,0,2 BHK,Bangalore,60.45
LVS Heights,2 BHK Flat for sale in Hallehalli Bangalore,65,Hallehalli Bangalore,1195,5440,3,1,2 BHK,Bangalore,60.45
Monishpark Apartment Kamala Nagar Bangalore,2 BHK Flat for sale in Kamala Nagar Bangalore,100,Monishpark Apartment Kamala Nagar Bangalore,1275,7840,3,1,2 BHK,Bangalore,93
sobha elite villsSarjapur Bangalore,3 BHK Villa for sale in Sarjapur Bangalore,80,sobha elite villsSarjapur Bangalore,1720,4650,3,1,3 BHK,Bangalore,74.4
tetra grand greenChamundi Nagar HebbalBangalore,2 BHK Flat for sale in Hebbal Bangalore,75,tetra grand greenChamundi Nagar HebbalBangalore,1033,7260,3,1,2 BHK,Bangalore,69.75
GM Silver Oak Kaval Bairasandra Bangalore,2 BHK Flat for sale in Kaval Bairasandra Bangalore,48,GM Silver Oak Kaval Bairasandra Bangalore,1000,4800,3,0,2 BHK,Bangalore,44.64
SOBHA ELITE VILLASSarjapur Bangalore,3 BHK Villa for sale in Sarjapur Bangalore,86,SOBHA ELITE VILLASSarjapur Bangalore,1720,5000,3,1,3 BHK,Bangalore,79.98
Vijetha Elysium,2 BHK Flat for sale in Whitefield Bangalore,55,Narayanappa Garden WhitefieldBangalore,1270,4330,3,1,2 BHK,Bangalore,51.15
Sobha Indraprastha by Sobha Limited,3 BHK Flat for sale in Rajajinagar Bangalore,285,Siddaramana Dinne RajajinagarBangalore,2030,14040,4,1,3 BHK,Bangalore,265.05
Brigade Meadows by Brigade Enterprises Ltd,2 BHK Flat for sale in Lingadheeranahalli Bangalore,58,Lingadheeranahalli Bangalore,950,6110,3,0,2 BHK,Bangalore,53.94
Aswani Aaeesha,2 BHK Flat for sale in Rayasandra Bangalore,32,Konappana Agrahara RayasandraBangalore,600,5330,2,0,2 BHK,Bangalore,29.76
N D ResidencyChandra Nagar Kumaraswamy LayoutBangalore,2 BHK Flat for sale in Kumaraswamy Layout Bangalore,55,N D ResidencyChandra Nagar Kumaraswamy LayoutBangalore,1100,5000,3,0,2 BHK,Bangalore,51.15
Rajapura Bangalore,2 BHK Flat for sale in Rajapura Bangalore,40,Rajapura Bangalore,920,4350,3,0,2 BHK,Bangalore,37.2
GM Global Techies TownVeer Sandra Electronic City Phase IIBangalore,2 BHK Flat for sale in Electronic City Phase II Bangalore,75,GM Global Techies TownVeer Sandra Electronic City Phase IIBangalore,1500,5000,3,1,2 BHK,Bangalore,69.75
Sobha Sapphire,2 BHK Flat for sale in Amrutahalli Bangalore,120,Amrutahalli Bangalore,1380,8700,3,1,2 BHK,Bangalore,111.6
Myhna Maple,2 BHK Flat for sale in Varthur Bangalore,75,Devasthanagalu VarthurBangalore,1045,7180,3,1,2 BHK,Bangalore,69.75
Terracon Doctors Enclave ChandapuraBangalore,3 BHK Villa for sale in Chandapura Bangalore,114,Terracon Doctors Enclave ChandapuraBangalore,2225,5120,4,1,3 BHK,Bangalore,106.02
Sri Nilaya,3 BHK Flat for sale in Malleswaram Bangalore,180,Malleswaram Bangalore,1200,15000,3,0,3 BHK,Bangalore,167.4
Shriram Surabhi,2 BHK Flat for sale in Lingadheeranahalli Bangalore,60,Lingadheeranahalli Bangalore,924,6490,3,1,2 BHK,Bangalore,55.8
Keerthi SignatureKIADB Export Promotion Industrial Area KrishnarajapuraBangalore,3 BHK Flat for sale in Krishnarajapura Bangalore,140,Keerthi SignatureKIADB Export Promotion Industrial Area KrishnarajapuraBangalore,1885,7430,3,1,3 BHK,Bangalore,130.2
Abhee Nakshatra Devasthanagalu VarthurBangalore,2 BHK Flat for sale in Varthur Bangalore,74,Abhee Nakshatra Devasthanagalu VarthurBangalore,1174,6300,3,1,2 BHK,Bangalore,68.82
Blue Wings,2 BHK Flat for sale in Vibhutipura Bangalore,72,Vibhutipura Bangalore,1080,6670,3,0,2 BHK,Bangalore,66.96
Blue Wings,2 BHK Flat for sale in Vibhutipura Bangalore,75,Vibhutipura Bangalore,1100,6820,3,0,2 BHK,Bangalore,69.75
The Icon,3 BHK Flat for sale in Thanisandra Bangalore,155,Manayata Tech Park ThanisandraBangalore,1996,7760,3,1,3 BHK,Bangalore,144.15
Biotech Park ChandapuraBangalore,3 BHK Villa for sale in Chandapura Bangalore,108,Biotech Park ChandapuraBangalore,2400,4500,4,1,3 BHK,Bangalore,100.44
Bommasandra Industrial Area BommasandraBangalore,2 BHK Flat for sale in Bommasandra Bangalore,34,Bommasandra Industrial Area BommasandraBangalore,830,4100,3,0,2 BHK,Bangalore,31.62
Sector 3 HSR LayoutBangalore,2 BHK Flat for sale in HSR Layout Bangalore,55,Sector 3 HSR LayoutBangalore,1000,5500,3,1,2 BHK,Bangalore,51.15
Prakruthi Hillcrest by Prakruthi Shelters,2 BHK Flat for sale in Banashankari Bangalore,67,Srinivasa Nagar BanashankariBangalore,1000,6700,3,1,2 BHK,Bangalore,62.31
Prakruthi Hillcrest by Prakruthi Shelters,2 BHK Flat for sale in Banashankari Bangalore,67,Srinivasa Nagar BanashankariBangalore,1000,6700,3,0,2 BHK,Bangalore,62.31
PRISTINE SINDHU,2 BHK Flat for sale in Subramanyapura Bangalore,60,Subramanyapura Bangalore,1164,5150,3,1,2 BHK,Bangalore,55.8
Abhee Nandika,2 BHK Flat for sale in Chandapura Bangalore,37,Chandapura Bangalore,870,4340,3,1,2 BHK,Bangalore,34.41
HM Symphony,2 BHK Flat for sale in Kasavanahalli Bangalore,83,Eastwood Township KasavanahalliBangalore,1200,6920,3,0,2 BHK,Bangalore,77.19
Sarjapur Bangalore,2 BHK Villa for sale in Sarjapur Bangalore,63,Sarjapur Bangalore,950,6630,3,1,2 BHK,Bangalore,58.59
First Daisy,2 BHK Flat for sale in Singasandra Bangalore,70,AECS Layout SingasandraBangalore,1188,5890,3,1,2 BHK,Bangalore,65.1
Raaya Homes,3 BHK Flat for sale in Sorahunase Bangalore,58,Sorahunase Bangalore,1495,3910,3,0,3 BHK,Bangalore,53.94
PSR Aster,2 BHK Flat for sale in Volagerekallahalli Bangalore,70,Volagerekallahalli Bangalore,1240,5640,3,1,2 BHK,Bangalore,65.1
MK Shri Sai Lake Ville by M K Builders,2 BHK Flat for sale in Varthur Bangalore,50,Devasthanagalu VarthurBangalore,1155,4330,3,0,2 BHK,Bangalore,46.5
Monishpark apt Kamala Nagar Bangalore,2 BHK Flat for sale in Kamala Nagar Bangalore,100,Monishpark apt Kamala Nagar Bangalore,1275,7840,3,0,2 BHK,Bangalore,93
KSR Cordelia,2 BHK Flat for sale in Thanisandra Bangalore,90,Rachenahalli ThanisandraBangalore,1256,7170,3,0,2 BHK,Bangalore,83.7
Akshaya Classic Home,2 BHK Flat for sale in Arakere Bangalore,75,Omkar Nagar ArakereBangalore,1350,5550,3,1,2 BHK,Bangalore,69.75
PLAM MEADOWS Sarjapur Bangalore,3 BHK Villa for sale in Sarjapur Bangalore,80,PLAM MEADOWS Sarjapur Bangalore,1800,4440,3,1,3 BHK,Bangalore,74.4
Anriya Greinberg Apartments by Anriya Group,3 BHK Flat for sale in Judicial Layout Bangalore,89,Judicial Layout Bangalore,1745,5100,3,1,3 BHK,Bangalore,82.77
Sattva East Crest,3 BHK Flat for sale in Konadasapura Bangalore,120,Konadasapura Bangalore,1527,7860,3,0,3 BHK,Bangalore,111.6
Ahad Excellencia,2 BHK Flat for sale in Choodasandra Bangalore,85,Choodasandra Bangalore,1146,7420,3,1,2 BHK,Bangalore,79.05
Gagan gauravi Rahmath Nagar R. T. NagarBangalore,2 BHK Flat for sale in R. T. Nagar Bangalore,60,Gagan gauravi Rahmath Nagar R. T. NagarBangalore,1200,5000,3,0,2 BHK,Bangalore,55.8
Battarahalli Bangalore,3 BHK Flat for sale in Battarahalli Bangalore,115,Battarahalli Bangalore,1735,6630,3,1,3 BHK,Bangalore,106.95
Oakwood Apartments,3 BHK Flat for sale in Kalkere Bangalore,79,Dodda Kempaiah Layout KalkereBangalore,1480,5340,3,0,3 BHK,Bangalore,73.47
Rohan Avriti,2 BHK Flat for sale in Krishnarajapura Bangalore,125,Kaveri Nagar KrishnarajapuraBangalore,1205,10370,3,1,2 BHK,Bangalore,116.25
Ravoos Rainbow,2 BHK Flat for sale in Whitefield Bangalore,46,Narayanappa Garden WhitefieldBangalore,1165,3950,3,0,2 BHK,Bangalore,42.78
PJC Pinacle AECS Layout AECS Layout SingasandraBangalore,2 BHK Flat for sale in Singasandra Bangalore,60,PJC Pinacle AECS Layout AECS Layout SingasandraBangalore,1055,5690,3,1,2 BHK,Bangalore,55.8
Karnataka Kengeri Diamond,2 BHK Flat for sale in Kengeri Satellite Town Bangalore,60,BSM Extension Kengeri Satellite TownBangalore,1030,5830,3,0,2 BHK,Bangalore,55.8
Mantri Global Heights,3 BHK Flat for sale in Kannamangala Bangalore,75,Ardendale KannamangalaBangalore,1625,4620,3,1,3 BHK,Bangalore,69.75
Brigade Gardenia,3 BHK Flat for sale in JP Nagar Bangalore,170,7th Phase JP NagarBangalore,1630,10430,3,1,3 BHK,Bangalore,158.1
Saptagiri Layout HosakerehalliBangalore,5 BHK Villa for sale in Hosakerehalli Bangalore,110,Saptagiri Layout HosakerehalliBangalore,2400,4580,4,1,5 BHK,Bangalore,102.3
Eco Nana Chamundi Nagar HebbalBangalore,2 BHK Flat for sale in Hebbal Bangalore,56,Eco Nana Chamundi Nagar HebbalBangalore,800,7000,6,0,2 BHK,Bangalore,52.08
NR Orchid Gardenia,4 BHK Flat for sale in Jakkur Bangalore,400,Rachenahalli JakkurBangalore,4895,8170,5,1,4 BHK,Bangalore,372
Citilights Rustique by Citilights Properties Builders,3 BHK Flat for sale in Whitefield Bangalore,287,Dodsworth Layout WhitefieldBangalore,2700,10630,4,1,3 BHK,Bangalore,266.91
SLV Pride by SLV Projects Pvt. Ltd.,2 BHK Flat for sale in HSR Layout Bangalore,58,Sector 2 HSR LayoutBangalore,1136,5150,3,1,2 BHK,Bangalore,53.94
Devasthanagalu VarthurBangalore,2 BHK Flat for sale in Varthur Bangalore,130,Devasthanagalu VarthurBangalore,1264,10280,3,0,2 BHK,Bangalore,120.9
Hoysala Hoysala Ace,3 BHK Flat for sale in Sahakara Nagar Bangalore,135,Sahakara Nagar Bangalore,1450,9310,3,0,3 BHK,Bangalore,125.55
Sai ParadiseMuthurayya Swamy Layout HulimavuBangalore,2 BHK Flat for sale in Hulimavu Bangalore,56,Sai ParadiseMuthurayya Swamy Layout HulimavuBangalore,1100,5090,3,1,2 BHK,Bangalore,52.08
Godavari FlatsYelahanka Bangalore,2 BHK Flat for sale in Yelahanka Bangalore,40,Godavari FlatsYelahanka Bangalore,900,4440,3,1,2 BHK,Bangalore,37.2
Veer Sandra Electronic City Phase IIBangalore,2 BHK Flat for sale in Electronic City Phase II Bangalore,50,Veer Sandra Electronic City Phase IIBangalore,870,5750,3,0,2 BHK,Bangalore,46.5
GM Global Techies TownVeer Sandra Electronic City Phase IIBangalore,3 BHK Flat for sale in Electronic City Phase II Bangalore,90,GM Global Techies TownVeer Sandra Electronic City Phase IIBangalore,1500,6000,3,1,3 BHK,Bangalore,83.7
Hoysala Hoysala Ace,3 BHK Flat for sale in Sahakara Nagar Bangalore,130,Sahakara Nagar Bangalore,1450,8960,3,0,3 BHK,Bangalore,120.9
Balaji Enclave Banashankari 3rd Stage BanashankariBangalore,2 BHK Flat for sale in Banashankari Bangalore,64,Balaji Enclave Banashankari 3rd Stage BanashankariBangalore,1100,5820,3,0,2 BHK,Bangalore,59.52
Veer Sandra Electronic CityBangalore,2 BHK Flat for sale in Electronic City Bangalore,35,Veer Sandra Electronic CityBangalore,890,3930,3,1,2 BHK,Bangalore,32.55
Horamavu Agara HoramavuBangalore,4 BHK Villa for sale in Horamavu Bangalore,210,Horamavu Agara HoramavuBangalore,2200,9540,4,1,4 BHK,Bangalore,195.3
SLS Silicon Valley,3 BHK Flat for sale in Krishnarajapura Bangalore,72,Belathur KrishnarajapuraBangalore,1311,5490,3,1,3 BHK,Bangalore,66.96
Skyline Beverly parkAmrutahalli Bangalore,2 BHK Flat for sale in Amrutahalli Bangalore,86,Skyline Beverly parkAmrutahalli Bangalore,1340,6420,3,0,2 BHK,Bangalore,79.98
Abhee Nakshatra Kasavanahalli Bangalore,2 BHK Flat for sale in Kasavanahalli Bangalore,77,Abhee Nakshatra Kasavanahalli Bangalore,1145,6720,3,1,2 BHK,Bangalore,71.61
YPR RESIDENCY,2 BHK Flat for sale in Narayanapura Bangalore,100,Narayanapura Bangalore,1102,9070,3,1,2 BHK,Bangalore,93
Soorya Signature by Soorya Homes,2 BHK Flat for sale in Hebbal Bangalore,75,Chamundi Nagar HebbalBangalore,1628,4610,3,1,2 BHK,Bangalore,69.75
Abhee Nandika,2 BHK Flat for sale in Bommasandra Bangalore,35,Bommasandra Industrial Area BommasandraBangalore,800,4380,2,1,2 BHK,Bangalore,32.55
Chaithrashree Comforts,2 BHK Flat for sale in RR Nagar Bangalore,75,Remco Housing Society RR NagarBangalore,1210,6200,3,0,2 BHK,Bangalore,69.75
Bommasandra Industrial Area BommasandraBangalore,2 BHK Flat for sale in Bommasandra Bangalore,33,Bommasandra Industrial Area BommasandraBangalore,820,4020,3,1,2 BHK,Bangalore,30.69
Candeur Rise,2 BHK Flat for sale in Varthur Bangalore,71,Varthur Bangalore,1170,6070,3,0,2 BHK,Bangalore,66.03
Sona Vistaas,1 BHK Flat for sale in Akshayanagar Bangalore,43,DLF Newtown AkshayanagarBangalore,532,8080,2,0,1 BHK,Bangalore,39.99
KattriguppeIttamadu BanashankariBangalore,2 BHK Flat for sale in Banashankari Bangalore,68,KattriguppeIttamadu BanashankariBangalore,1200,5670,3,1,2 BHK,Bangalore,63.24
Lingadheeranahalli Bangalore,2 BHK Flat for sale in Lingadheeranahalli Bangalore,60,Lingadheeranahalli Bangalore,950,6320,3,0,2 BHK,Bangalore,55.8
Vishwapriya Nagar BegurBangalore,3 BHK Flat for sale in Begur Bangalore,70,Vishwapriya Nagar BegurBangalore,1480,4730,3,1,3 BHK,Bangalore,65.1
Dynamic Krishna Aashraya,3 BHK Flat for sale in Ramamurthy Nagar Bangalore,75,Jinke Thimmanahalli Ramamurthy NagarBangalore,1485,5050,3,1,3 BHK,Bangalore,69.75
Nishant Prime,2 BHK Flat for sale in Whitefield Bangalore,83,Immadihalli WhitefieldBangalore,1219,6810,3,0,2 BHK,Bangalore,77.19
Ideal Apartments,2 BHK Flat for sale in RR Nagar Bangalore,75,Javarandoddi RR NagarBangalore,1200,6250,3,1,2 BHK,Bangalore,69.75
Bhartiya Nikoo Homes,2 BHK Flat for sale in Tirumanahalli Bangalore,83,Devin Paradise Enclave TirumanahalliBangalore,1098,7560,3,1,2 BHK,Bangalore,77.19
Sumadhura Aspire Aurum by Sumadhura Homes LLP,2 BHK Flat for sale in Kadugodi Bangalore,65,V S Reddy Colony KadugodiBangalore,955,6810,3,1,2 BHK,Bangalore,60.45
DS Max Sigma,3 BHK Flat for sale in Electronic City Bangalore,90,Gollahalli Electronic CityBangalore,1448,6210,3,0,3 BHK,Bangalore,83.7
Godrej E City,2 BHK Flat for sale in Electronic City Bangalore,69,Electronic City Bangalore,1028,6810,3,0,2 BHK,Bangalore,64.17
MV ENCLAVE2 Stage Uttarahalli HobliBangalore,2 BHK Flat for sale in Uttarahalli Hobli Bangalore,50,MV ENCLAVE2 Stage Uttarahalli HobliBangalore,1039,4810,3,0,2 BHK,Bangalore,46.5
Prakruthi Krishna,3 BHK Flat for sale in Vidyaranyapura Bangalore,80,Vaishnavi Layout VidyaranyapuraBangalore,1621,4930,3,1,3 BHK,Bangalore,74.4
Prashant Residency,2 BHK Flat for sale in Akshayanagar Bangalore,48,Akshayanagara East AkshayanagarBangalore,1100,4360,3,0,2 BHK,Bangalore,44.64
Kasavanahalli Bangalore,2 BHK Flat for sale in Kasavanahalli Bangalore,77,Kasavanahalli Bangalore,1229,6260,3,1,2 BHK,Bangalore,71.61
Terracon Doctors Enclave ChandapuraBangalore,2 BHK Flat for sale in Chandapura Bangalore,37,Terracon Doctors Enclave ChandapuraBangalore,858,4310,3,0,2 BHK,Bangalore,34.41
adiga Sundar Ram Shetty Nagar BilekahalliBangalore,2 BHK Flat for sale in Bilekahalli Bangalore,70,adiga Sundar Ram Shetty Nagar BilekahalliBangalore,1000,7000,3,1,2 BHK,Bangalore,65.1
Ahad Silver Crown,2 BHK Flat for sale in Harlur Bangalore,61,Lakedew Residency- Phase 2 HarlurBangalore,1202,5100,3,1,2 BHK,Bangalore,56.73
Belur Nagasandra BellandurBangalore,2 BHK Flat for sale in Bellandur Bangalore,74,Belur Nagasandra BellandurBangalore,1174,6300,3,0,2 BHK,Bangalore,68.82
Godrej E City,3 BHK Flat for sale in Electronic City Bangalore,92,Electronic City Bangalore,1440,6390,3,0,3 BHK,Bangalore,85.56
Sindhura Residency,2 BHK Flat for sale in Electronic City Bangalore,40,Electronic City Bangalore,1100,3640,3,1,2 BHK,Bangalore,37.2
adiga Sundar Ram Shetty Nagar BilekahalliBangalore,3 BHK Flat for sale in Bilekahalli Bangalore,90,adiga Sundar Ram Shetty Nagar BilekahalliBangalore,1420,6340,3,0,3 BHK,Bangalore,83.7
Sunny Side ApartmentAkshaya Gardens AkshayanagarBangalore,2 BHK Flat for sale in Akshayanagar Bangalore,40,Sunny Side ApartmentAkshaya Gardens AkshayanagarBangalore,950,4210,3,0,2 BHK,Bangalore,37.2
psr nandanamDevanahalli Bangalore,4 BHK Villa for sale in Devanahalli Bangalore,150,psr nandanamDevanahalli Bangalore,2685,5590,4,1,4 BHK,Bangalore,139.5
Century Breeze,2 BHK Flat for sale in Nehru Nagar Bangalore,87,Nehru Nagar Bangalore,1279,6800,3,1,2 BHK,Bangalore,80.91
SNN Raj Serenity,2 BHK Flat for sale in Akshayanagar Bangalore,62,Yelenahalli AkshayanagarBangalore,950,6530,3,1,2 BHK,Bangalore,57.66
Sobha Jade Apartments,3 BHK Flat for sale in Jakkur Bangalore,160,Jakkuru Village JakkurBangalore,1802,8880,3,1,3 BHK,Bangalore,148.8
Sarjapur Bangalore,3 BHK Villa for sale in Sarjapur Bangalore,100,Sarjapur Bangalore,1200,8330,3,1,3 BHK,Bangalore,93
