Name,Property_Title,Price_InLakhs,Location,Total_Area,Price_per_SQFT,Baths,Balcony,Typeof_flat,City
Xrbia Riverfront,1 RK Flat for sale in Talegaon Dabhade Pune,15,Yashwant Nagar Talegaon DabhadePune,234,6410,1,0,1 RK,Pune
Asha Shaama Estate Phase II,1 BHK Flat for sale in Charholi Budruk Pune,25,Chovisawadi Charholi BudrukPune,520,4810,2,1,1 BHK,Pune
Bhukum Pune,3 BHK Independent House for sale in Bhukum Pune,110,Bhukum Pune,2900,3790,4,1,3 BHK,Pune
Lotus Shobha Park,1 BHK Flat for sale in Yerawada Pune,47,Gandham Nagar YerawadaPune,750,6270,2,0,1 BHK,Pune
kondhw dhavdeUttam Nagar Pune,1 BHK Flat for sale in Uttam Nagar Pune,22,kondhw dhavdeUttam Nagar Pune,622,3620,2,1,1 BHK,Pune
Vardhaman goldTalegaon Dabhade Pune,1 BHK Flat for sale in Talegaon Dabhade Pune,21,Vardhaman goldTalegaon Dabhade Pune,580,3620,2,1,1 BHK,Pune
Siddhivinayak society AmbegaonJambhulwadi Pune,1 BHK Flat for sale in Jambhulwadi Pune,1,Siddhivinayak society AmbegaonJambhulwadi Pune,535,299000,2,1,1 BHK,Pune
Siddhivinayak Vision WoodsJambhul Pune,1 BHK Flat for sale in Jambhul Pune,20,Siddhivinayak Vision WoodsJambhul Pune,639,3280,2,0,1 BHK,Pune
Ranjeet SS Teak County Phase 2,3 BHK Independent House for sale in Khed Shivapur Pune,100,Khed Shivapur Pune,1800,5550,3,1,3 BHK,Pune
Ranjeet SS Teak County Phase 2,3 BHK Villa for sale in Khed Shivapur Pune,100,Khed Shivapur Pune,2000,5000,2,1,3 BHK,Pune
Joyville Hadapsar Annexe Phase 11,2 BHK Independent House for sale in Shewalewadi Pune,60,Shewalewadi Pune,1200,5000,3,0,2 BHK,Pune
Fursungi Pune,3 BHK Independent House for sale in Fursungi Pune,85,Fursungi Pune,1500,5670,3,1,3 BHK,Pune
Trishul Housing Society SaswadPune,2 BHK Flat for sale in Saswad Pune,25,Trishul Housing Society SaswadPune,600,4170,2,1,2 BHK,Pune
Sai kunj,2 BHK Flat for sale in Kasarwadi Pune,45,Shastri Nagar KasarwadiPune,780,5770,2,1,2 BHK,Pune
Dobarwadi GhorpadiPune,4 BHK Independent House for sale in Ghorpadi Pune,450,Dobarwadi GhorpadiPune,3850,11690,2,1,4 BHK,Pune
Talegaon Dhamdhere Pune,2 BHK Flat for sale in Talegaon Dhamdhere Pune,22,Talegaon Dhamdhere Pune,550,4000,2,0,2 BHK,Pune
4 bhk independent houseSiddhartha Nagar WagholiPune,4 BHK Independent House for sale in Wagholi Pune,75,4 bhk independent houseSiddhartha Nagar WagholiPune,1000,7500,3,0,4 BHK,Pune
Shree ram nagar ambethan roadAambethan Pune,1 BHK Independent House for sale in Aambethan Pune,21,Shree ram nagar ambethan roadAambethan Pune,600,3500,2,0,1 BHK,Pune
Majestique Aqua Phase I,1 BHK Flat for sale in Fursungi Pune,32,Fursungi Pune,643,4980,2,1,1 BHK,Pune
VisionwoodsJambhul Pune,2 BHK Flat for sale in Jambhul Pune,20,VisionwoodsJambhul Pune,639,3280,2,0,2 BHK,Pune
Jalan Eco Valley,2 BHK Flat for sale in Kanhe Pune,25,Kanhe Pune,768,3250,2,0,2 BHK,Pune
DR Gavhane Memoir,2 BHK Flat for sale in Chikhali Pune,45,Ganesh Nagar Chikhali ChikhaliPune,800,5630,5,0,2 BHK,Pune
Mahindra AntheiaHindustan Antibiotics Colony PimpriPune,1 BHK Flat for sale in Pimpri Pune,56,Mahindra AntheiaHindustan Antibiotics Colony PimpriPune,600,9330,2,1,1 BHK,Pune
Wagholi Pune,3 BHK Independent House for sale in Wagholi Pune,95,Wagholi Pune,1197,7940,3,0,3 BHK,Pune
Ambegaon Bk Pune,6 BHK Villa for sale in Ambegaon Bk Pune,200,Ambegaon Bk Pune,2304,8680,4,1,6 BHK,Pune
Kadambari CHS,1 BHK Flat for sale in Dhayari Pune,26,Mahadev Nagar DhayariPune,568,4580,2,0,1 BHK,Pune
OveraNana Peth Bhawani PethPune,1 BHK Flat for sale in Bhawani Peth Pune,82,OveraNana Peth Bhawani PethPune,800,10250,6,1,1 BHK,Pune
Gorhe Bk. Pune,2 BHK Flat for sale in Gorhe Bk. Pune,34,Gorhe Bk. Pune,730,4660,2,0,2 BHK,Pune
Dhanlaxmi Heights,1 RK Flat for sale in Manjari Khurd Pune,12,Manjari Khurd Pune,275,4450,1,1,1 RK,Pune
Xrbia Abode,2 BHK Flat for sale in Jambhul Pune,32,Jambhul Pune,601,5320,2,1,2 BHK,Pune
Tanishq Vlasta,1 BHK Flat for sale in Alandi Pune,33,Alandi Pune,481,6860,2,0,1 BHK,Pune
Katarkhadak Pune,2 BHK Flat for sale in Katarkhadak Pune,70,Katarkhadak Pune,1150,6090,3,1,2 BHK,Pune
SKYi Manas LakeBhukum Pune,2 BHK Flat for sale in Bhukum Pune,42,SKYi Manas LakeBhukum Pune,710,5920,2,0,2 BHK,Pune
Goel Ganga Legend A4 And B1,3 BHK Flat for sale in Bavdhan Pune,90,Ram Nagar BavdhanPune,1350,6670,3,1,3 BHK,Pune
Viijcon The Vivansaa Cellandine,3 BHK Flat for sale in Kasarsai Pune,70,Kasarsai Pune,1300,5380,3,1,3 BHK,Pune
Kalp Residency D Wing,2 BHK Flat for sale in Chakan Pune,42,Chakan Pune,875,4800,3,1,2 BHK,Pune
Patas Pune,4 BHK Independent House for sale in Patas Pune,125,Patas Pune,4500,2780,5,1,4 BHK,Pune
Dobarwadi GhorpadiPune,3 BHK Independent House for sale in Ghorpadi Pune,325,Dobarwadi GhorpadiPune,3400,9560,1,1,3 BHK,Pune
Vision CityTukaram Nagar Talegaon DabhadePune,4 BHK Flat for sale in Talegaon Dabhade Pune,47,Vision CityTukaram Nagar Talegaon DabhadePune,1268,3710,3,0,4 BHK,Pune
Residency,1 BHK Flat for sale in Vikas Nagar Pune,65,Vikas Nagar Vikas NagarPune,550,11820,2,0,1 BHK,Pune
Pride,2 BHK Flat for sale in Diwad Pune,110,Diwad Pune,1000,11000,3,1,2 BHK,Pune
Shankar Kalat Nagar WakadPune,2 BHK Independent House for sale in Wakad Pune,78,Shankar Kalat Nagar WakadPune,736,10600,2,0,2 BHK,Pune
Keshav nagar police station Keshav Nagar Pune,2 BHK Independent House for sale in Keshav Nagar Pune,55,Keshav nagar police station Keshav Nagar Pune,1000,5500,3,0,2 BHK,Pune
Siddhashila Eela,1 RK Flat for sale in Punawale Pune,26,Vishnu Dev Nagar PunawalePune,375,6930,1,0,1 RK,Pune
Kolhewadi Pune,4 BHK Independent House for sale in Kolhewadi Pune,260,Kolhewadi Pune,4800,5420,5,1,4 BHK,Pune
Inna Apartment Parvati Hills Parvati DarshanPune,1 RK Flat for sale in Parvati Darshan Pune,35,Inna Apartment Parvati Hills Parvati DarshanPune,450,7780,2,1,1 RK,Pune
Mulshi Pune,2 BHK Villa for sale in Mulshi Pune,90,Mulshi Pune,3500,2570,4,1,2 BHK,Pune
Kare aurveda mulshiMulshi Pune,4 BHK Villa for sale in Mulshi Pune,150,Kare aurveda mulshiMulshi Pune,11000,1360,6,1,4 BHK,Pune
Kunjirwadi Pune,2 BHK Independent House for sale in Kunjirwadi Pune,38,Kunjirwadi Pune,1089,3490,3,1,2 BHK,Pune
Yashoda Colony WakadPune,6 BHK Independent House for sale in Wakad Pune,195,Yashoda Colony WakadPune,2200,8860,4,1,6 BHK,Pune
Ajit Yuthika Enclave,1 BHK Flat for sale in Khadakwasla Pune,55,Khadakwasla Pune,1150,4830,3,0,1 BHK,Pune
Atharva SiddhiAmbegaon Bk Pune,1 BHK Flat for sale in Ambegaon Bk Pune,38,Atharva SiddhiAmbegaon Bk Pune,722,5260,2,1,1 BHK,Pune
Xrbia Abode,1 RK Flat for sale in Jambhul Pune,12,Jambhul Pune,370,3240,1,0,1 RK,Pune
Anugraha Apartment,2 BHK Flat for sale in Morwadi Pune,67,Morwadi Pune,750,8930,2,0,2 BHK,Pune
Xrbia AmbiTukaram Nagar Talegaon DabhadePune,1 RK Flat for sale in Talegaon Dabhade Pune,18,Xrbia AmbiTukaram Nagar Talegaon DabhadePune,320,5630,1,0,1 RK,Pune
Aapurva Heights,1 BHK Flat for sale in Ambegaon Pune,25,Ambegaon Pune,500,5000,2,1,1 BHK,Pune
Sancheti Eves Garden,2 BHK Flat for sale in Mundhwa Pune,52,Lonkar Nagar MundhwaPune,850,6120,3,1,2 BHK,Pune
Vastushodh Anandgram Wakhari,1 BHK Flat for sale in Wakhari Pune,11,Wakhari Pune,500,2200,2,1,1 BHK,Pune
Playtor,1 BHK Flat for sale in Ranjangaon Pune,18,Ranjangaon Pune,385,4670,1,1,1 BHK,Pune
Nilanjali Society Kalyani NagarPune,1 BHK Flat for sale in Kalyani Nagar Pune,55,Nilanjali Society Kalyani NagarPune,650,8460,2,1,1 BHK,Pune
Sukh nagariGanga Nagar AkurdiPune,2 BHK Independent House for sale in Akurdi Pune,150,Sukh nagariGanga Nagar AkurdiPune,3000,5000,2,1,2 BHK,Pune
Abhaydev Ayodhyapuram,1 BHK Flat for sale in Talegaon Dhamdhere Pune,19,Talegaon Dhamdhere Pune,550,3450,2,0,1 BHK,Pune
Anant Sushtri Jambhulgaon Kanhe Near Kanhe Railway Station Opp Mahindra CoKanhe Pune,1 BHK Flat for sale in Kanhe Pune,25,Anant Sushtri Jambhulgaon Kanhe Near Kanhe Railway Station Opp Mahindra CoKanhe Pune,600,4170,2,0,1 BHK,Pune
Ujwal Terraces,1 RK Flat for sale in Dhayari Pune,23,Abasaheb Raikar Nagar DhayariPune,470,4890,2,1,1 RK,Pune
SrbiaJambhul Pune,1 BHK Flat for sale in Jambhul Pune,22,SrbiaJambhul Pune,334,6590,1,1,1 BHK,Pune
Grand View 7Ambegaon Pune,5 RK Flat for sale in Ambegaon Pune,230,Grand View 7Ambegaon Pune,2700,8520,4,1,5 RK,Pune
SushmaDehu Road Cantonment Pune,1 BHK Flat for sale in Dehu Road Cantonment Pune,20,SushmaDehu Road Cantonment Pune,550,3640,2,0,1 BHK,Pune
Xrbia Abode,1 BHK Flat for sale in Jambhul Pune,16,Jambhul Pune,275,5820,1,0,1 BHK,Pune
S K Apartments,1 RK Flat for sale in Narhe Pune,16,Narhe Pune,380,4210,1,0,1 RK,Pune
S K Apartments,1 RK Flat for sale in Narhe Pune,16,Narhe Pune,380,4210,1,0,1 RK,Pune
Shivam Green Court Mahalunge Ingale Pune,2 BHK Flat for sale in Mahalunge Ingale Pune,40,Shivam Green Court Mahalunge Ingale Pune,1075,3720,3,1,2 BHK,Pune
Rambagh Colony RahataniPune,1 RK Flat for sale in Rahatani Pune,47,Rambagh Colony RahataniPune,487,9650,2,0,1 RK,Pune
Tirupati Balaji Nisarg,2 BHK Flat for sale in Shiraswadi Pune,15,Shiraswadi Pune,638,2350,2,0,2 BHK,Pune
Emerald building Ambegaon Bk Pune,1 BHK Flat for sale in Ambegaon Bk Pune,38,Emerald building Ambegaon Bk Pune,683,5640,2,1,1 BHK,Pune
Xrbia Abode,1 BHK Flat for sale in Jambhul Pune,21,Jambhul Pune,363,5790,1,1,1 BHK,Pune
Shankar Kalat Nagar WakadPune,1 RK Flat for sale in Wakad Pune,33,Shankar Kalat Nagar WakadPune,435,7590,2,1,1 RK,Pune
Om Residency,1 RK Flat for sale in Kirkatwadi Pune,12,Kirkatwadi Pune,256,4690,1,1,1 RK,Pune
Mahatma Phule Peth Pune,3 BHK Flat for sale in Mahatma Phule Peth Pune,85,Mahatma Phule Peth Pune,1285,6610,3,0,3 BHK,Pune
Avon Vista Phase 1 And Phase 2,2 BHK Flat for sale in Balewadi Pune,85,Patil Nagar BalewadiPune,1000,8500,3,1,2 BHK,Pune
Palash Sanskruti Residency,2 BHK Flat for sale in Baramati Pune,52,Baramati Pune,1113,4670,3,0,2 BHK,Pune
Yogesh apartmentIndustrial Area NandedPune,1 RK Flat for sale in Nanded Pune,15,Yogesh apartmentIndustrial Area NandedPune,400,3750,2,1,1 RK,Pune
Mantra Magic,2 BHK Flat for sale in Chimbali Pune,28,Chimbali Pune,640,4380,2,1,2 BHK,Pune
SKYi Star TowersBhukum Pune,1 BHK Flat for sale in Bhukum Pune,30,SKYi Star TowersBhukum Pune,555,5410,2,1,1 BHK,Pune
Utkarsha CHS,1 RK Flat for sale in Vadgaon Budruk Pune,10,Kirti Nagar Vadgaon BudrukPune,328,3200,1,0,1 RK,Pune
Dhanori Pune,1 BHK Independent House for sale in Dhanori Pune,42,Dhanori Pune,620,6770,2,1,1 BHK,Pune
Sell buildingSiddhartha Nagar WagholiPune,5 BHK Independent House for sale in Wagholi Pune,75,Sell buildingSiddhartha Nagar WagholiPune,1000,7500,3,1,5 BHK,Pune
Kohinoor Abhimaan Homes,1 RK Flat for sale in Shirgaon Pune,22,Shirgaon Pune,450,4890,2,0,1 RK,Pune
Siddhartha Nagar WagholiPune,1 RK Independent House for sale in Wagholi Pune,72,Siddhartha Nagar WagholiPune,650,11080,2,0,1 RK,Pune
Aapla Ghar Ranjangaon Pune,1 BHK Flat for sale in Ranjangaon Pune,17,Aapla Ghar Ranjangaon Pune,450,3780,2,1,1 BHK,Pune
Varve Budruk Pune,2 BHK Villa for sale in Varve Budruk Pune,110,Varve Budruk Pune,1500,7330,3,1,2 BHK,Pune
Kumar Palaash,2 BHK Flat for sale in Wadgaon Sheri Pune,80,Sainath Nagar Wadgaon SheriPune,1000,8000,3,0,2 BHK,Pune
Trinity Greens,2 BHK Flat for sale in Wakad Pune,71,Bhumkar Nagar WakadPune,954,7500,3,1,2 BHK,Pune
Pratham Apartment Loni Kalbhor Pune,1 BHK Flat for sale in Loni Kalbhor Pune,27,Pratham Apartment Loni Kalbhor Pune,500,5400,2,0,1 BHK,Pune
Chandan Garden NIBMMohammed Wadi Pune,5 BHK Independent House for sale in Mohammed Wadi Pune,310,Chandan Garden NIBMMohammed Wadi Pune,2700,11480,4,1,5 BHK,Pune
om pearlNarhe Pune,1 RK Flat for sale in Narhe Pune,11,om pearlNarhe Pune,300,3670,1,0,1 RK,Pune
Pashan Pune,4 BHK Independent House for sale in Pashan Pune,400,Pashan Pune,2500,16000,4,1,4 BHK,Pune
Saiv Bk. Pune,6 BHK Independent House for sale in Saiv Bk. Pune,550,Saiv Bk. Pune,5800,9480,5,1,6 BHK,Pune
Avani Nilay,1 BHK Flat for sale in Vadhu Budruk Pune,15,Vadhu Budruk Pune,570,2720,2,0,1 BHK,Pune
Saarrthi Sinclair,1 RK Flat for sale in Warje Malwadi Pune,50,Warje Malwadi Pune,550,9090,2,0,1 RK,Pune
Swaymbhu Gangadham Phase II Ganga DhamPune,2 BHK Flat for sale in Ganga Dham Pune,185,Swaymbhu Gangadham Phase II Ganga DhamPune,1257,14720,3,0,2 BHK,Pune
Ganga Koregaon Park Annexe MundhwaPune,1 RK Flat for sale in Mundhwa Pune,50,Ganga Koregaon Park Annexe MundhwaPune,675,7410,2,0,1 RK,Pune
Dwarka Project 2,2 BHK Flat for sale in Mahalunge Ingale Pune,50,Mahalunge Ingale Pune,850,5880,3,0,2 BHK,Pune
Bora Park,1 BHK Flat for sale in Pimple Saudagar Pune,45,Shri Ram Colony Pimple SaudagarPune,640,7030,2,1,1 BHK,Pune
Amit Astonia Royale,2 BHK Flat for sale in Ambegaon Budruk Pune,75,Ambegaon Budruk Pune,1059,7080,3,1,2 BHK,Pune
Aapla Ghar Talegaon DhamdhereTalegaon Dhamdhere Pune,1 BHK Flat for sale in Talegaon Dhamdhere Pune,10,Aapla Ghar Talegaon DhamdhereTalegaon Dhamdhere Pune,411,2430,2,1,1 BHK,Pune
Gangadham Phase 2,1 BHK Flat for sale in Ganga Dham Pune,70,Gangadham Phase II Ganga DhamPune,700,10000,2,0,1 BHK,Pune
Maple Aapla Ghar Lonikand,1 BHK Flat for sale in Lonikand Pune,30,Lonikand Pune,650,4620,2,1,1 BHK,Pune
Nulife Phase 1,1 BHK Flat for sale in Kamshet Pune,72,Kamshet Pune,910,7910,3,1,1 BHK,Pune
Baner Pune,2 BHK Flat for sale in Baner Pune,71,Baner Pune,825,8610,3,1,2 BHK,Pune
Shivnagar Chirke Colony LohegaonPune,3 BHK Villa for sale in Lohegaon Pune,75,Shivnagar Chirke Colony LohegaonPune,1475,5080,3,1,3 BHK,Pune
Ravet Pune,2 BHK Flat for sale in Ravet Pune,65,Ravet Pune,1057,6210,3,0,2 BHK,Pune
Namrata Happycity Varale,1 BHK Flat for sale in Talegaon Dabhade Pune,24,Talegaon Dabhade Pune,429,5590,2,1,1 BHK,Pune
Pride Aloma County,3 BHK Flat for sale in Aundh Pune,178,Sindhi Colony AundhPune,1609,11060,3,1,3 BHK,Pune
Xrbia Abode,1 BHK Flat for sale in Jambhul Pune,15,Jambhul Pune,300,5000,1,1,1 BHK,Pune
Pristine Purvrang Part 1,1 BHK Flat for sale in Perne Pune,16,Perne Pune,370,4320,1,1,1 BHK,Pune
Kunal Puram,3 BHK Villa for sale in Dapodi Pune,210,Phugewadi DapodiPune,2795,7510,4,1,3 BHK,Pune
Manjri green parkManjari Budruk Pune,3 BHK Independent House for sale in Manjari Budruk Pune,110,Manjri green parkManjari Budruk Pune,1250,8800,3,0,3 BHK,Pune
Xrbia Hinjewadi Road,6 BHK Independent House for sale in Bebadohal Pune,400,Bebadohal Pune,950,42100,3,1,6 BHK,Pune
Vitthal Nagar WarjePune,4 BHK Independent House for sale in Warje Pune,180,Vitthal Nagar WarjePune,2178,8260,4,1,4 BHK,Pune
Sahyog Nagar ChikhaliPune,2 BHK Flat for sale in Chikhali Pune,45,Sahyog Nagar ChikhaliPune,830,5420,3,0,2 BHK,Pune
Mega Maval Shades,3 BHK Villa for sale in Vadgaon Pune,125,Mhalaskar Wadi VadgaonPune,2000,6250,5,1,3 BHK,Pune
Minakshi Puram Vadgaon BudrukPune,2 BHK Flat for sale in Vadgaon Budruk Pune,35,Minakshi Puram Vadgaon BudrukPune,700,5000,2,0,2 BHK,Pune
Sidhi vinayak vision city jabhulgaon PUNE Jadhav Nagar Vadgaon BudrukPune,3 BHK Flat for sale in Vadgaon Budruk Pune,39,Sidhi vinayak vision city jabhulgaon PUNE Jadhav Nagar Vadgaon BudrukPune,1400,2790,3,0,3 BHK,Pune
Hindustan Antibiotics Colony PimpriPune,3 BHK Independent House for sale in Pimpri Pune,75,Hindustan Antibiotics Colony PimpriPune,1280,5860,3,1,3 BHK,Pune
Bhim Nagar MoshiPune,4 BHK Independent House for sale in Moshi Pune,260,Bhim Nagar MoshiPune,800,32500,1,0,4 BHK,Pune
Shankar Kalat Nagar WakadPune,4 BHK Independent House for sale in Wakad Pune,380,Shankar Kalat Nagar WakadPune,2800,13570,4,1,4 BHK,Pune
Lambodar Vasant Ganesh Vishwa,1 BHK Flat for sale in Bavdhan Pune,52,Bavdhan Pune,540,9630,2,0,1 BHK,Pune
Platinum TowersShankar Kalat Nagar WakadPune,2 BHK Flat for sale in Wakad Pune,78,Platinum TowersShankar Kalat Nagar WakadPune,850,9180,3,1,2 BHK,Pune
Sai Home CHSTanaji Nagar Ambegaon PatharPune,1 BHK Flat for sale in Ambegaon Pathar Pune,25,Sai Home CHSTanaji Nagar Ambegaon PatharPune,540,4630,2,0,1 BHK,Pune
Pristine Purvrang Part 1,2 BHK Flat for sale in Perne Pune,24,Perne Pune,700,3500,2,0,2 BHK,Pune
Roshan One,1 BHK Flat for sale in Bhamboli Pune,18,Bhamboli Pune,370,4860,1,0,1 BHK,Pune
Bhamboli Pune,1 BHK Flat for sale in Bhamboli Pune,17,Bhamboli Pune,443,3840,2,0,1 BHK,Pune
Anushree Astral Residency,1 BHK Flat for sale in Punawale Pune,36,Punawale Pune,587,6260,2,0,1 BHK,Pune
Kohinoor Abhimaan Homes,2 BHK Flat for sale in Shirgaon Pune,33,Shirgaon Pune,796,4140,2,0,2 BHK,Pune
Hingane Home Colony Karve NagarPune,5 BHK Independent House for sale in Karve Nagar Pune,550,Hingane Home Colony Karve NagarPune,4000,13750,5,1,5 BHK,Pune
Trimurti Nagar,1 RK Flat for sale in Fursungi Pune,35,Bhekrai Nagar FursungiPune,800,4380,2,1,1 RK,Pune
Warulwadi NarayangaonPune,2 BHK Flat for sale in Narayangaon Pune,32,Warulwadi NarayangaonPune,900,3560,3,0,2 BHK,Pune
Warulwadi NarayangaonPune,2 BHK Flat for sale in Narayangaon Pune,67,Warulwadi NarayangaonPune,900,7440,3,0,2 BHK,Pune
Warulwadi NarayangaonPune,2 BHK Flat for sale in Narayangaon Pune,55,Warulwadi NarayangaonPune,900,6110,3,1,2 BHK,Pune
Talegaon Dhamdhere Pune,2 BHK Flat for sale in Talegaon Dhamdhere Pune,20,Talegaon Dhamdhere Pune,750,2670,2,0,2 BHK,Pune
Triaa Prince Town,2 BHK Flat for sale in Shikrapur Pune,25,Shikrapur Pune,908,2750,3,0,2 BHK,Pune
Ravet Pune,2 BHK Flat for sale in Ravet Pune,63,Ravet Pune,1015,6220,3,0,2 BHK,Pune
Siddharth Nagar Ph Sindhi Colony AundhPune,3 BHK Flat for sale in Aundh Pune,105,Siddharth Nagar Ph Sindhi Colony AundhPune,1075,9770,3,1,3 BHK,Pune
Pristine Pristine Palms,1 RK Flat for sale in Bakori Pune,17,Bakori Pune,627,2710,2,1,1 RK,Pune
Clover Park Viman NagarPune,2 BHK Independent House for sale in Viman Nagar Pune,110,Clover Park Viman NagarPune,1500,7330,3,0,2 BHK,Pune
Nancy hill Vive Baner Pune,2 BHK Flat for sale in Baner Pune,89,Nancy hill Vive Baner Pune,900,9890,3,0,2 BHK,Pune
Shikrapur Pune,3 BHK Independent House for sale in Shikrapur Pune,50,Shikrapur Pune,2050,2440,4,1,3 BHK,Pune
Om Sai Shiv Sai,1 RK Flat for sale in Wagholi Pune,15,Wagholi Pune,320,4840,1,0,1 RK,Pune
Grace Grace Classic,1 BHK Flat for sale in Guruwar Peth Pune,27,Guruwar Peth Pune,424,6540,2,0,1 BHK,Pune
Wadkar Heights,1 BHK Flat for sale in Wadaki Pune,45,Wadaki Pune,600,7500,2,1,1 BHK,Pune
Junnar Pune,5 BHK Independent House for sale in Junnar Pune,350,Junnar Pune,15000,2330,1,1,5 BHK,Pune
Suyog Sadan,1 BHK Flat for sale in Pimple Nilakh Pune,40,Vishal Nagar Pimple NilakhPune,546,7330,2,0,1 BHK,Pune
Sara Orchids,2 BHK Flat for sale in Chakan Pune,38,Chakan Pune,1020,3730,3,1,2 BHK,Pune
Kalas Area KalasPune,3 BHK Independent House for sale in Kalas Pune,81,Kalas Area KalasPune,1300,6230,3,1,3 BHK,Pune
AmrutgangaWadegaon Pune,2 BHK Flat for sale in Wadegaon Pune,72,AmrutgangaWadegaon Pune,563,12790,2,0,2 BHK,Pune
Shobha Height,1 BHK Flat for sale in Shivane Pune,25,Shivane Pune,555,4500,2,0,1 BHK,Pune
Balaji Nisarg,2 BHK Flat for sale in Shiraswadi Pune,18,Shiraswadi Pune,700,2570,2,1,2 BHK,Pune
Balaji Nisarg,1 BHK Flat for sale in Shiraswadi Pune,15,Shiraswadi Pune,500,3000,2,0,1 BHK,Pune
Pride Purple Park Springs,3 BHK Flat for sale in Lohegaon Pune,82,Lohegaon Pune,1317,6230,3,1,3 BHK,Pune
Shankar Kalat Nagar WakadPune,1 RK Flat for sale in Wakad Pune,47,Shankar Kalat Nagar WakadPune,700,6710,2,0,1 RK,Pune
sonsavar apartmentRam Nagar Pimple GuravPune,2 BHK Flat for sale in Pimple Gurav Pune,33,sonsavar apartmentRam Nagar Pimple GuravPune,580,5690,2,1,2 BHK,Pune
Baner Pune,2 BHK Flat for sale in Baner Pune,90,Baner Pune,1100,8180,3,0,2 BHK,Pune
Vastushodh Anandgram Wakhari,2 BHK Flat for sale in Wakhari Pune,16,Wakhari Pune,1000,1600,3,1,2 BHK,Pune
Varale Pune,1 BHK Flat for sale in Varale Pune,23,Varale Pune,680,3380,2,0,1 BHK,Pune
Vitthal Nagar WarjePune,1 BHK Independent House for sale in Warje Pune,27,Vitthal Nagar WarjePune,402,6720,2,1,1 BHK,Pune
Maple Aapla Ghar Ranjangaon,1 BHK Flat for sale in Ranjangaon Pune,17,Ranjangaon Pune,443,3840,2,1,1 BHK,Pune
Indira ApartmentTulshibagwale Colony Parvati DarshanPune,3 BHK Flat for sale in Parvati Darshan Pune,140,Indira ApartmentTulshibagwale Colony Parvati DarshanPune,1021,13710,3,1,3 BHK,Pune
Kumar Picasso,3 BHK Flat for sale in Hadapsar Pune,140,Vetal Nagar HadapsarPune,2200,6360,4,1,3 BHK,Pune
Mont Vert Avion,2 BHK Flat for sale in Pashan Pune,130,Pashan Pune,1300,10000,3,1,2 BHK,Pune
Near Shrikrishna Theater Budhwar Peth Pune,1 RK Flat for sale in Budhwar Peth Pune,53,Near Shrikrishna Theater Budhwar Peth Pune,690,7750,2,0,1 RK,Pune
Sairutu heightManter Wadi Pune,1 RK Flat for sale in Manter Wadi Pune,10,Sairutu heightManter Wadi Pune,270,3700,1,1,1 RK,Pune
Sus Pune,3 BHK Independent House for sale in Sus Pune,38,Sus Pune,1300,2920,3,1,3 BHK,Pune
Baramati Pune,3 BHK Independent House for sale in Baramati Pune,12,Baramati Pune,11000,109000,5,1,3 BHK,Pune
Shivleela Park,1 BHK Flat for sale in Fursungi Pune,21,Suresh Nagar FursungiPune,550,3820,2,0,1 BHK,Pune
Shivleela Park,1 BHK Flat for sale in Fursungi Pune,20,Suresh Nagar FursungiPune,690,2900,2,0,1 BHK,Pune
Rakshak Nagar KharadiPune,5 BHK Independent House for sale in Kharadi Pune,180,Rakshak Nagar KharadiPune,2000,9000,6,1,5 BHK,Pune
Skyi Star Town Phase V,3 BHK Flat for sale in Pune,60,Lavale Pune,1040,5770,3,0,3 BHK,Pune
Icon Windsor Apartments,1 RK Flat for sale in Wakad Pune,46,Shankar Kalat Nagar WakadPune,665,6920,2,0,1 RK,Pune
Tanish Alandi Pune,1 BHK Flat for sale in Alandi Pune,23,Tanish Alandi Pune,587,3920,2,0,1 BHK,Pune
Shree Rivera,1 BHK Flat for sale in Pimple Saudagar Pune,58,Mithila Nagari Pimple SaudagarPune,720,8050,2,0,1 BHK,Pune
High Bliss,2 BHK Flat for sale in Dhayari Pune,32,Dhayari Village DhayariPune,700,4570,2,1,2 BHK,Pune
Nerhe Pune,3 BHK Flat for sale in Nerhe Pune,30,Nerhe Pune,798,3760,2,0,3 BHK,Pune
Kohinoor Abhimaan Homes,2 BHK Flat for sale in Shirgaon Pune,40,Shirgaon Pune,730,5480,2,0,2 BHK,Pune
Abhijeet Acropolis,2 BHK Flat for sale in Uruli Kanchan Pune,42,Uruli Kanchan Pune,900,4720,3,0,2 BHK,Pune
Sector No. 1 BhosariPune,2 BHK Flat for sale in Bhosari Pune,32,Sector No. 1 BhosariPune,765,4180,2,0,2 BHK,Pune
kalpashiSubhash Nagar Shukrawar PethPune,1 RK Flat for sale in Shukrawar Peth Pune,30,kalpashiSubhash Nagar Shukrawar PethPune,345,8700,1,0,1 RK,Pune
Subhash Nagar Shukrawar PethPune,3 BHK Independent House for sale in Shukrawar Peth Pune,175,Subhash Nagar Shukrawar PethPune,1750,10000,3,1,3 BHK,Pune
Sus Pune,2 BHK Independent House for sale in Sus Pune,60,Sus Pune,1100,5450,3,0,2 BHK,Pune
Namrata Ecocity 2,2 BHK Flat for sale in Talegaon Dabhade Pune,36,Talegaon Dabhade Pune,951,3790,3,0,2 BHK,Pune
Vetal Nagar HadapsarPune,2 BHK Independent House for sale in Hadapsar Pune,65,Vetal Nagar HadapsarPune,650,10000,2,0,2 BHK,Pune
