Name,Property_Title,Price_InLakhs,Location,Total_Area,Price_per_SQFT,Baths,Balcony,Typeof_flat,City
Mango FarmNatesan Nagar MadhavaramChennai,2 BHK Flat for sale in Madhavaram Chennai,45,Mango FarmNatesan Nagar MadhavaramChennai,831,5420,3,1,2 BHK,Chennai
Srivatsam flats Sembiyan PeramburChennai,2 BHK Flat for sale in Perambur Chennai,50,Srivatsam flats Sembiyan PeramburChennai,853,5860,3,1,2 BHK,Chennai
Alacrity Sangath,2 BHK Flat for sale in Velachery Chennai,60,Velachery Chennai,994,6040,3,1,2 BHK,Chennai
Periyar Nagar TiruvottiyurChennai,2 BHK Independent House for sale in Tiruvottiyur Chennai,110,Periyar Nagar TiruvottiyurChennai,1800,6110,3,1,2 BHK,Chennai
Ishwarya malar apartments Kuppusamy Nagar AyanavaramChennai,2 BHK Flat for sale in Ayanavaram Chennai,41,Ishwarya malar apartments Kuppusamy Nagar AyanavaramChennai,547,7500,2,1,2 BHK,Chennai
Mylapore Chennai,2 BHK Flat for sale in Mylapore Chennai,45,Mylapore Chennai,730,6160,2,0,2 BHK,Chennai
JB HOMESVishnu Nagar West TambaramChennai,2 BHK Flat for sale in West Tambaram Chennai,33,JB HOMESVishnu Nagar West TambaramChennai,920,3590,3,1,2 BHK,Chennai
BSR Nerkundram,4 BHK Independent House for sale in Koyambedu Chennai,115,Tirumalai Nagar KoyambeduChennai,1400,8210,3,0,4 BHK,Chennai
Mahindra Happinest,2 BHK Flat for sale in Avadi Chennai,32,Avadi Chennai,667,4800,2,0,2 BHK,Chennai
Veppampattu Chennai,2 BHK Independent House for sale in Veppampattu Chennai,39,Veppampattu Chennai,1000,3900,3,0,2 BHK,Chennai
Sravan Zebulon,2 BHK Flat for sale in Madipakkam Chennai,54,Ram Nagar MadipakkamChennai,850,6410,3,1,2 BHK,Chennai
Leela Towers KovilambakamRose Nagar KovilambakkamChennai,2 BHK Flat for sale in Kovilambakkam Chennai,45,Leela Towers KovilambakamRose Nagar KovilambakkamChennai,951,4730,3,1,2 BHK,Chennai
My Homes Nakshatra,3 BHK Flat for sale in Perumbakkam Chennai,77,Cheran Nagar PerumbakkamChennai,1380,5580,3,1,3 BHK,Chennai
Annamalai Colony SaligramamChennai,3 BHK Flat for sale in Saligramam Chennai,110,Annamalai Colony SaligramamChennai,1196,9200,3,0,3 BHK,Chennai
Ambattur Chennai,3 BHK Independent House for sale in Ambattur Chennai,420,Ambattur Chennai,4800,8750,5,1,3 BHK,Chennai
Jubliee Residences,2 BHK Flat for sale in Moolakazhani Chennai,36,Moolakazhani Chennai,690,5290,2,1,2 BHK,Chennai
Ashwanth Vedas,2 BHK Flat for sale in Kolathur Chennai,60,Lakshmipuram KolathurChennai,982,6110,3,0,2 BHK,Chennai
